Region,Enterprise Type,Accreditation No,Enterprise Name,Province,Municipality/City,Business Address,Contact Numbers,Business Website,Accreditation Validity
Region 10,Mabuhay Accommodation,DOT-R10-MAB-00003-2023(M),JJJ INLAND RESORT,Misamis Oriental,Libertad,"Purok Rambutan, Libertad Gingoog City",,,"October 31, 2025"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-00751-2024,MARY DANIELLE's CAFE AND RESTAURANT,Misamis Oriental,Claveria,"Zone 4, Brgy. Lanise, Claveria, Misamis Oriental",0917 777 8987,,"October 31, 2026"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-00864-2024,BLU SANDS RESORT INC,Misamis Oriental,Initao,"Purok 3B, Brgy. Tubigan",0925 898 7640,,"October 31, 2026"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-00865-2024,KAWAYAN CLIFF RESORT,Misamis Oriental,Initao,"Purok 4, Brgy. Pagahan",0967 012 2836,,"October 31, 2026"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-01007-2025,THE VIEWPOINT RESORT CORP.,Misamis Oriental,Opol,"Zone 4, Barangay Malanang",0917 512 5411,,"October 31, 2026"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-01030-2025,LOHAS AIRPORT HOTEL AND RESTAURANT,Misamis Oriental,Laguindingan,"Zone 1, Brgy. Sinai, Laguindingan, Misamis Oriental",0935 117 5001,,"October 31, 2026"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-00716-2024,KAI AZUL BEACH RESORT AND RESTAURANT,Misamis Oriental,Gingoog City,"Brgy. San Juan, Gingoog City",0975 290 2113 / 0916 659 2183,,"October 31, 2026"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-00754-2024,CIVOLEG HILLTOP GARDEN,Misamis Oriental,Gingoog City,"Purok 5, Sitio Civoleg, Brgy. Lunotan, Gingoog City",0936 878 7353,,"October 31, 2026"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-00780-2024,IN & OUT DRIVE II,Misamis Oriental,Gingoog City,"Brgy. 20, Dona Graciana Street, Gingoog City",0912 504 1240,,"October 31, 2026"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-00357-2023,KAHULUGAN SPRING RESORT,Misamis Oriental,Jasaan,PUROK MAHIGUGMAON,0926 288 4988,,"October 31, 2025"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-00103-2021,Paula's Hotel and Restaurant,Misamis Oriental,Tagoloan,"Zone 12, Poblacion, Tagoloan Misamis Oriental",0917 770 8666,,"October 31, 2025"
Region 10,Mabuhay Accommodation,DOT-R10-MAB-00859-2024,9015 SEASIDE-VILLA BEACH HOUSE,Misamis Oriental,Magsaysay,"Purok 2, Barangay Damayuhan",0947 205 5811,,"October 31, 2026"
Region 10,MICE Organizer,DOT-R10-MCO-00059-2021,PROFESSIONAL ORGANIZERS UNLIMITED,Misamis Oriental,Cagayan de Oro City,"2/F LK Building, Gaston Circle, No. 5 Rizal Street",0917 116 4293,,"June 30, 2026"
Region 10,MICE Organizer,DOT-R10-MCO-00752-2024,HM WEDDINGS AND EVENTS PLANNING,Misamis Oriental,Cagayan de Oro City,"Sampaguita Street, Tomasaco, Barangay Macasandig",0917 723 3000,,"June 30, 2026"
Region 10,MICE Organizer,DOT-R10-MCO-01000-2025,DAUNTLESS TRAVEL AND EVENTS SOLUTIONS CORP.,Bukidnon,Malaybalay City,"Mampaalong St., Corner Murillo St. Malaybalay City",0945 738 4632,,"June 30, 2026"
Region 10,MICE Venue / Facility,DOT-R10-MCF-00749-2024,ELARVEE EVENT VENUE,Misamis Oriental,Cagayan de Oro City,"13-15th Street, Brgy. Nazareth, Cagayan de Oro City",0917 705 5165,,"June 30, 2026"
Region 10,MICE Venue / Facility,DOT-R10-MCF-00822-2024,"MEGAMIND VENTURE HOLDINGS, INC. / CDO HOTEL XENTRO",Misamis Oriental,Cagayan de Oro City,C/O G/F CDO Hotel Xentro / 017 Corrales Avenue,0917 723 0861,,"June 30, 2026"
Region 10,Resort,DOT-R10-RES-00089-2021(M),DAHILAYAN ADVENTURE PARK,Bukidnon,Manolo Fortich,DAHILAYAN MANOLO FORTICH BUKIDNON,9176223204,https://www.dahilayanadventurepark.com/,"October 31, 2025"
Region 10,Resort,DOT-R10-RES-00364-2023,FOGTRAIL INC.,Bukidnon,Manolo Fortich,DAHILAYAN MANOLO FORTICH BUKIDNON,09156018476/09156018477/09154238414,,"October 31, 2026"
Region 10,Resort,DOT-R10-RES-00459-2023(M),DREAM RESIDENCES / GOLFTEL RESORT MANAGEMENT INC.,Bukidnon,Manolo Fortich,"Purok 2A, Manolo Fortich, Bukidnon",0917 126 1790,https://www.dreamresidences.com.ph/,"October 31, 2025"
Region 10,Resort,DOT-R10-RES-00276-2022,RR FAMILY SPRING RESORT,Bukidnon,Maramag,"PUROK 3, TUBIGON, MARAMAG, BUKIDNON",0926 838 2376,,"October 31, 2026"
Region 10,Resort,DOT-R10-RES-00113-2021,ULTRA ADVENTURE LEISURE & ACTIVITY SITE,Bukidnon,Baungon,"Cagayan de Oro International Convention Access Rd., Brgy. Pualas, Baungin, Bukidnon",0927 522 5727 / 0908 811 7060,,"October 31, 2025"
Region 10,Resort,DOT-R10-RES-00867-2024,KAVANAH GAVEN RESORT INC.,Bukidnon,Kitaotao,"Purok 5, Brgy. Lorega",0917 159 3362,,"October 31, 2026"
Region 10,Resort,DOT-R10-RES-00092-2021,CODI CORAYA REAL ESTATE INCORPORATED / BALAI SA BAIBAI,Camiguin,Mambajao,"Kauswagan, Agoho, Mambajao, Camiguin",0956 936 5402,,"October 31, 2026"
Region 10,Resort,DOT-R10-RES-00002-2023(M),Cabua-an beach resort,Camiguin,Mambajao,"Balintawak st.,mambajao camiguin",9153363582,,"October 31, 2025"
Region 10,Resort,DOT-R10-RES-00295-2022,"CAMIGUIN ISLAND RESORTS, INC. / PARAS BEACH RESORT",Camiguin,Mambajao,"Rocky Vilalge Street, Yumbing, Mambajao, Camiguin",9177152285,https://www.parasbeachresortcamiguin.com,"October 31, 2026"
Region 10,Resort,DOT-R10-RES-00137-2021,VILLA PARAISO APARTELLE OF CAMIGUIN,Camiguin,Mambajao,"Upper UMYCCO, Poblacion, Mambajao, Camiguin",0917 102 9565 / 0917 308 9293,,"October 31, 2026"
Region 10,Resort,DOT-R10-RES-00141-2021(M),"ALFRA VENTURES GROUP, INC. / CAMIGUIN NOUVEAU RESORT & VILLAS",Camiguin,Mahinog,"Tupsan Pequeno, Mahinog, Camiguin",0917 717 0558 / 0917 803 4021,,"October 31, 2025"
Region 10,Resort,DOT-R10-RES-00889-2024,UNWND FLASHTEL INC,Camiguin,Mambajao,"Rocky Building, Yumbing, Mambajao",0906 795 5968,https://camiguin.unwndstays.com/,"October 31, 2026"
Region 10,Resort,DOT-R10-RES-00339-2022,AMAYA VIEW,Misamis Oriental,Cagayan de Oro City,Barrio Indahag Cagayan de Oro City,0917 771 7942,https://www.facebook.com/amayaview,"October 31, 2026"
Region 10,Resort,DOT-RES-00151-2022,CHALI BEACH AND RESORT CORPORATION,Misamis Oriental,Cagayan de Oro City,"Zone 3, Brgy. Cugman, Cagayan de Oro City",0917 624 0760,,"October 31, 2026"
Region 10,Resort,DOT-R10-RES-00810-2024,CLUB IVY'S RESORT INC.,Misamis Oriental,Cagayan de Oro City,"Sitio Lomboy, Brgy. Indahag, Cagayan de Oro City",0917 633 2733,,"October 31, 2025"
Region 10,Resort,DOT-R10-RES-00898-2024,TIEZA-GARDENS OFMALASAG ECO TOURISM VILLAGE,Misamis Oriental,Cagayan de Oro City,"Malasag Hill, Cugman",9178968873,https://gardensofmalasagecotourismvillage.com/,"October 31, 2026"
Region 10,Resort,DOT-R10-RES-00048-2021,KAHULUGAN SPRING RESORT,Misamis Oriental,Jasaan,"PUROK MAHIGUGMAON, BRGY. KIMAYA, JASAAN, MISAMIS ORIENTAL",9262884988,,"October 31, 2025"
Region 10,Resort,DOT-R10-RES-00461-2023,"DUKA BAY RESORT, INC.",Misamis Oriental,Medina,"P2-Old Bypass Road, Brgy.Duka, Medina, Misamis Oriental",9171129473,http://www.dukabayresort.com,"October 31, 2025"
Region 10,Resort,DOT-R10-RES-00870-2024,"MANTANGALE ALIBUAG DIVE RESORT, INC.",Misamis Oriental,Balingoan,"Zone 1, Barangay Mantangale, Balingoan",0916 303 9415,http://www.mantangale.com,"October 31, 2026"
Region 10,Resort,DOT-R10-RES-00149-2022(M),BRICKWALL CONSTRUCTION & DEV. CORP. / APPLE TREE RESORT & HOTEL,Misamis Oriental,Opol,"ZONE 2 TABOC, OPOL MIS. OR.",0917-7144040,,"October 31, 2025"
Region 10,Resort,DOT-R10-RES-00079-2021,C RESORT,Misamis Oriental,Libertad,"Purok Talagusok, Gimaylan, Libertad, Misamis Oriental",0935 665 9844 / 0977 819 2799,,"October 31, 2026"
Region 10,Restaurant,DOT-R10-RST-00877-2024,TAZA SPECIALTY COFFEE AND RETAURANT CORP.,Misamis Oriental,Libertad,"Purok 7, Panimugsalan, Gimaylan",0917 601 6624,,"September 9, 2025"
Region 10,Restaurant,DOT-R10-RST-00925-2024,SAKAYAN RESTAURANT,Misamis Oriental,Libertad,"Purok 1, Brgy. Gimaylan",0935 424 9904,,"November 29, 2025"
Region 10,Restaurant,DOT-R10-RST-00873-2024,HUNONGANAN GRILL AND RESTOBAR,Misamis Oriental,Initao,"Purok 3B, Brarangay Tubigan",0938 135 7199,,"September 3, 2025"
Region 10,Restaurant,DOT-R10-RST-00936-2025,GREENHOUSE CAFE,Bukidnon,Malaybalay City,"Purok 6, Barangay Casisang, Malaybalay City, Bukidnon",0917 551 9918,,"January 3, 2026"
Region 10,Restaurant,DOT-R10-RST-00989-2025,BRICKTIME GRILL AND RESTOBAR,Bukidnon,Malaybalay City,"Marta Dela Cerna St., Purok 4, brgy. Sumpong, Malaybalay City",0906 812 8712,,"March 21, 2026"
Region 10,Restaurant,DOT-R10-RST-00895-2024,WAMB CORPORATION / MY POTTER'S GARDEN,Bukidnon,Manolo Fortich,"Sitio Bagalangit Road, Brgy. Kalugmanan",0917 770 1413,,"October 2, 2025"
Region 10,Restaurant,DOT-R10-RST-01042-2025(M),THAI ME UP FOOD CORPORATION - RICARDO's,Bukidnon,Manolo Fortich,"Zone 4, Mampayag, Manolo Fortich, Bukidnon",0917 794 6117,,"June 10, 2026"
Region 10,Restaurant,DOT-R10-RST-00872-2024,DAVAO SEAGULL RESORTS DEVELOPMENT INC.,Bukidnon,Kitaotao,"Purok 5, Napalico, Lorega, Kitaotao, Bukidnon",0948 691 4079,,"September 3, 2025"
Region 10,Restaurant,DOT-R10-RST-00121-2021,"AMS CHICKEN HAUS, INC.",Lanao del Norte,Iligan City,"Quezon Avenue Extension, Iligan City",0916 754 5866,,"January 3, 2026"
Region 10,Restaurant,DOT-R10-RST-00381-2025(M),"FDRS ARCADIA FOOD VENTURE, INC. - SUNBURST ILIGAN",Lanao del Norte,Iligan City,"GT. Lluch Street, Palao, Iligan City",0917 770 7093,,"June 5, 2026"
Region 10,Restaurant,DOT-R10-RST-01006-2025,TIOLANO'S MEXICAN RESTOBAR,Lanao del Norte,Iligan City,"2nd Floor, Jacob Bldg. 20 Aguibaldo St. Brgy. Poblacion, Iligan City",0915 535 0456,,"March 31, 2026"
Region 10,Restaurant,DOT-R10-RST-00969-2025,TERRY&PERRY COFFEE SHOP,Lanao del Norte,Tubod,"Purok 6, Brgy. Poblacion, Tubod, Lanao del Norte",0999 998 4394,,"March 7, 2026"
Region 10,Restaurant,DOT-R10-RST-00972-2025,RIANA'S CATERING SERVICES (RIANA'S CAPITOL),Lanao del Norte,Tubod,"Brgy. Pigcarangan, Tubod, Lanao del Norte",0977 349 6199,,"March 11, 2026"
Region 10,Restaurant,DOT-R10-RST-00973-2025,RIANA'S CATERING SERVICES (MCC RIANA'S),Lanao del Norte,Tubod,"Sagadan, Brgy. Poblacion, Tubod, Lanao del Norte",0977 349 6199,,"March 11, 2026"
Region 10,Restaurant,DOT-R10-RST-00974-2025,RIANA'S CATERING SERVICES (RIANA'S KAMBINGAN),Lanao del Norte,Tubod,"Brgy. poblacion, Tubod, Lanao del Norte",0977 349 6199,,"March 11, 2026"
Region 10,Restaurant,DOT-R10-RST-00983-2025,FOC KITCHEN,Lanao del Norte,Baroy,"Purok 5, Brgy. Poblacion, Baroy, Lanao del Norte",0936 446 9523,,"March 19, 2026"
Region 10,Restaurant,DOT-R10-RST-01076-2025,ICE CREAM VALLEY,Lanao del Norte,Tubod,"Timbal Hilario Bldg., Purok 5-TCES, Brgy. Poblacion, Tubod, Lanao del Norte",0917 771 3283,,"August 12, 2026"
Region 10,Restaurant,DOT-R10-RST-01080-2025,SOY CAFE & DINER,Lanao del Norte,Lala,"Brgy. Marandaing, Lala, Lanao del Norte",0915 718 2702,,"August 14, 2026"
Region 10,Restaurant,DOT-R10-RST-00216-2022,MAIGO FOOD HOUSE AND KAMBINGAN,Lanao del Norte,Maigo,"Purok 5, Barangay Poblacion, Maigo, Lanao del Norte",0935 328 0232,,"March 24, 2026"
Region 10,Restaurant,DOT-R10-RST-00248-2022,CATLIKE VENTURES OPC (BLUGRE COFFEE),Lanao del Norte,Tubod,"Purok 3 TCES, Brgy. Poblacion, Tubod, Lanao del Norte",0917 149 7033,,"August 5, 2026"
Region 10,Restaurant,DOT-R10-RST-00765-2024,CAT'S GRILL & RESTAURANT,Lanao del Norte,Tubod,"Barangay Pobalcion, Tubod, Lanao del Norte",0938 397 3756,,"August 13, 2026"
Region 10,Restaurant,DOT-R10-RST-00768-2024,HOTEL DE ROSA BAR & BISTRO,Lanao del Norte,Baroy,"Purok 2, Brgy. Village, Baroy, Lanao del Norte",0905 088 7288,,"August 7, 2026"
Region 10,Restaurant,DOT-R10-RST-00770-2024,CAFE REPUBLIQUE,Lanao del Norte,Baroy,"Purok 2 Sto. Brgy. Village, Baroy, Lanao del Norte",,,
Region 10,Restaurant,DOT-R10-RST-00771-2024,ANDREW'S PIZZA,Lanao del Norte,Kolambugan,"Dela Cruz Bldg., Purok 3 RCMS, Brgy. Poblacion, Tubod, Lanao del Norte",0953 742 7107,,"August 13, 2026"
Region 10,Restaurant,DOT-R10-RST-00893-2024,AAB FOOD CORP.,Misamis Oriental,Cagayan de Oro City,"Corner Las Ramblas, Brgy. Carmen, Cagayan de Oro City",0917 790 0843,,"October 1, 2025"
Region 10,Restaurant,DOT-R10-RST-01044-2025,MILESTONE COFFEE,Misamis Oriental,Cagayan de Oro City,"Block 5, Lot 2, Beacon Avenue, Pueblo de Oro Business Park, Brgy. Carmen, Cagayan de Oro City",0917 771 6779,,"June 24, 2026"
Region 10,Restaurant,DOT-R10-RST-00950-2025,BAROTO SEASIDE BISTRO,Misamis Occidental,Jimenez,"Patafcla Beach, Barangay Jimenez",0945 224 9112,,"February 13, 2026"
Region 10,Restaurant,DOT-R10-RST-00951-2025,"PHILIPPINE CULTURAL HERITAGE RESEARCH AND DEVELOPMENT FOUNDATION, INC.",Misamis Occidental,Jimenez,"MH Del Pilar St., Brgy. Santa Cruz (Pob.)",0932 843 5256,,"February 13, 2026"
Region 10,Restaurant,DOT-R10-RST-01024-2025,KENJELO FARM AND RECREATION RESORTS CORP.,Misamis Occidental,Oroquieta City,"Purok 6, Brgy. Dolipos Alto",0918 967 6052,,"April 25, 2026"
Region 10,Tourism Recreation Center,DOT-R10-SRC-00365-2023(M),DAHILAYAN FOREST PARK INC.,Bukidnon,Manolo Fortich,Barangay Dahilayan,0917 831 9992,,"June 10, 2026"
Region 10,Tourism Recreation Center,DOT-R10-SRC-00206-2022,MAPPLE'S PATIO & RESORT,Misamis Oriental,Cagayan de Oro City,"Purok 3, Zone 7, Balaos, Brgy. Iponan, Cagayan de Oro City",0926 333 7394,,"March 25, 2026"
Region 10,Tourism Recreation Center,DOT-R10-SRC-00734-2024,MJNFARM&CAFE FOOD SERVICES,Misamis Oriental,Cagayan de Oro City,"Zone 6, Baikingon, Cagayan de Oro City",0917 391 6192,,"March 19, 2026"
Region 10,Tourism Recreation Center,DOT-R10-SRC-00906-2024,HIGH RIDGE RESTAURANT & SWIMMING POOL,Misamis Oriental,Cagayan de Oro City,"Upper Bontola, Brgy. Macasandig, Cagayan de Oro City",0967 770 6185,,"November 4, 2025"
Region 10,Target Shooting Range,DOT-R10-TRE-01059-2025,NORTHERN MINDANAO PISTOL SHOTGUN & ARCHERY INC.,Misamis Oriental,Cagayan de Oro City,"Zone 9 Anhawon, Brgy. Bulua, Cagayan de Oro City",0917 706 2406,,"July 22, 2026"
Region 10,Tourism Recreation Center,DOT-R10-SRC-00005-2021,SEVEN SEAS WATERPARK & RESORT,Misamis Oriental,Opol,"Zone 1 Barangay Barra, Opol, Misamis Oriental",9176777678,https://www.sevenseaswaterparkresort.com/,"April 22, 2026"
Region 10,Tourism Recreation Center,DOT-R10-SRC-00876-2024,INITAO EMPEROR'S BEACH RESORT,Misamis Oriental,Initao,"Purok Makiangayon 1, Brgy. Gimangpang",0905 175 3841,,"September 9, 2025"
Region 10,Tourism Recreation Center,DOT-R10-SRC-00050-2021,LIANNITA PRIVATE RESORT,Misamis Occidental,Jimenez,"Purok 3, Olarte Street, Jimenez",0917 429 2952,,"February 11, 2026"
Region 10,Tourism Training Center,DOT-R10-TRC-00297-2022,"OUR LADY OF TRIUMPH INSTITUTE OF TECHNOLOGY, INC.",Misamis Occidental,Ozamis City,"Banadero highway, Brgy. Banadero",(088) 545 9073 (088) 545 9163,,"December 19, 2025"
Region 10,Land Transport Operator,DOT-R10-TTO-00197-2022,AJIS RENT A CAR CORPORATION,Misamis Oriental,Cagayan de Oro City,"Julio Pacana Street, District 4, Barangay Puntod",0917 634 1907 0917 126 5078,,"April 30, 2026"
Region 10,Land Transport Operator,DOT-R10-TTO-00207-2022,THE LORD'S TRANSPORT SERVICES,Misamis Oriental,Cagayan de Oro City,"Patag, Cagayan de Oro City",0917 326 5481,,"April 30, 2026"
Region 10,Land Transport Operator,DOT-R10-TTO-00209-2022,ALPHAT AIRPORT METERED TAXI,Misamis Oriental,Cagayan de Oro City,"3rd Floor, 858 Cogon Market Complex",0917 337 6888 0949 099 9999,,"April 30, 2026"
Region 10,Land Transport Operator,DOT-R10-TTO-00957-2025,RADYO DE ORO CORPORATION / MAGNUM EXPRESS PREMIUM SHUTTLE SERVICE AND CAR / COACH RENTALS,Misamis Oriental,Cagayan de Oro City,"East Wing Hallway, Limketkai Center",0917 771 2255,,"June 30, 2026"
Region 10,Land Transport Operator,DOT-R10-TTO-00226-2022,CAGAYAN DE ORO AIRPORT TRANSPORT SERVICE COOPERATIVE,Misamis Oriental,Cagayan de Oro City,"Agor Terminal, Brgy. Lapasan, Cagayan de Oro City",0917 109 5015 / 0916 482 2504,,"June 30, 2026"
Region 10,Tourist Shop (Department Store / Souvenir Shop / Specialty Shop),DOT-R10-TSP-00798-2024,TWWA ENTERPRISE,Bukidnon,Malaybalay City,"KM 4 SAYRE HIGHWAY, CASISANG MALAYBALAY CITY",0917 772 3846,,"September 17, 2025"
Region 10,Tourist Shop (Department Store / Souvenir Shop / Specialty Shop),DOT-R10-TSP-00963-2025,PANIKA TEA AND SOUVENIR SHOP,Bukidnon,Malaybalay City,"Mincuya St., Brgy. San Jose, Malaybalay City",0917 794 2049,,"February 27, 2025"
Region 10,Tourist Shop (Department Store / Souvenir Shop / Specialty Shop),DOT-R10-TSP-00947-2025,DELTA BUSINESS VENTURES,Misamis Occidental,Aloran,"The Funsalubong Factory, Purok 3, Brgy. Law-an, Misamis Occidental",0909 206 0040,,"February 11, 2026"
Region 10,Tourist Shop (Department Store / Souvenir Shop / Specialty Shop),DOT-R10-TSP-00948-2025,TREATS-BY-KIT FOOD PRODUCTS MANUFACTURING,Misamis Oriental,Cagayan de Oro City,"57th Avenue Arcade, Tomas Saco Fern-Hill Sts., Brgy. Macasandig",0927 588 5298,,"February 11, 2026"
Region 10,Travel and Tour Agency,DOT-R10-TTA-00418-2023,WE-DREAM TRAVEL AND TOURS,Misamis Oriental,Cagayan de Oro City,"Door 3, San Antonio de Padua Business Center, 12-29th street Nazareth",0956 926 3701,,"June 30, 2026"
Region 10,Travel and Tour Agency,DOT-R10-TTA-00420-2023,ONE REGATTA TOURS,Misamis Oriental,Cagayan de Oro City,"Tiano Luna Sts., Brgy. 19 (Pob).",0927 516 7682,,"June 30, 2026"
Region 10,Travel and Tour Agency,DOT-R10-TTA-00338-2022,"GRANDSCAPE TRAEL AND TOURS CO., INC.",Misamis Oriental,Cagayan de Oro City,"No 302 3F SM City CDO Uptown, Masterson Avenue, Brgy. Carmen",0905 409 6378,,"June 30, 2026"
Region 10,Travel and Tour Agency,DOT-R10-TTA-00855-2024,KN SQUARED TRAVLE AND TOURS SERVICES,Misamis Oriental,Cagayan de Oro City,"Zone 2, Brgy. Iponan",0917 104 4510,,"June 30, 2026"
Region 10,Travel and Tour Agency,DOT-R10-TTA-00001-2023(M),VANDEL TRAVEL & TOURS,Misamis Oriental,Initao,"Zone 8, Rizal Street, Poblacion, Initao, Misamis Oriental",0936 489 7457,,"June 30, 2026"
Region 10,Travel and Tour Agency,DOT-R10-TTA-01043-2025,SARAH LEA TRAVEL AND TOURS INC.,Misamis Oriental,Initao,"A & J Building, Purok 10, Brgy. Poblacion",0952 644 5261,,"June 30, 2026"
Region 10,Travel and Tour Agency,DOT-R10-TTA-00002-2023(M),ALSHIALEY TRAVEL AND TOUR,Misamis Oriental,El Salvador City,"Zone 4, Poblacion, El Salvador City, Misamis Oriental",0977 113 6274,,"June 30, 2026"
Region 10,Travel and Tour Agency,DOT-R10-TTA-00222-2022(M),"UNLTD TRAVEL AND TOURS, INC.",Lanao del Norte,Iligan City,"40 Macapagal Avenue, Tubod, Iligan City",0925 888 6583,https://unltdtravel.com/,"June 30, 2026"
Region 10,Travel and Tour Agency,DOT-R10-TTA-00265-2022,AIRVOUGZ TRAVEL AND TOURS,Lanao del Norte,Iligan City,"#105 Zone 3, Brgy. San Miguel",0927 418 6834,,"June 30, 2026"
Region 10,Travel and Tour Agency,DOT-R10-TTA-00288-2022,A'S TRAVEL AND TOURS,Lanao del Norte,Iligan City,"Al-Jawmer and Sons Co. Shell Gas Station, Camague Highway",0917 716 0527,,"June 30, 2026"
Region 10,Travel and Tour Agency,DOT-R10-TTA-00841-2024,JOZIL TRAVEL SERVICES,Lanao del Norte,Iligan City,"LIM Bldg., Roxas Avenue",0917 153 4606,,"June 30, 2026"
Region 10,Travel and Tour Agency,DOT-R10-TTA-00920-2024,LAKBAY DIYALOGO TRAVEL SERVICES AND CONSULTANCY,Lanao del Norte,Iligan City,"Door 2, Silacan Apartment, Zone 3, Brgy. Bagon Silang",0928 993 9211,,"June 30, 2026"
Region 10,Travel and Tour Agency,DOT-R10-TTA-00029-2021,GS VENTURE PH,Misamis Occidental,Tudela,"Purok 1, National Highway, Brgy. Centro Upper Tudela",0949 996 9860,,"June 30, 2026"
Region 10,Travel and Tour Agency,DOT-R10-TTA-00314-2022,PAGLAUM BUSINESS CENTER,Misamis Occidental,Oroquieta City,Barrientos St. Brgy. Poblacion 2,0918 359 7145 (088) 531 0233,,"June 30, 2026"
Region 10,Travel and Tour Agency,DOT-R10-TTA-00438-2023,WU & E Travel Services (Studio Holidays Travel),Misamis Occidental,Oroquieta City,"SBU Showroom bldg, Ozamiz St. Lower Lancangan, Oroquieta City",0917 710 0921,,"June 30, 2026"
Region 10,Travel and Tour Agency,DOT-R10-TTA-00767-2024,JA' TRAVEL AND TOURS,Misamis Occidental,Clarin,"Clarin Town Center, Brgy., Poblacion, Clarin, Misamis Occidental",0920 362 5010,,"June 30, 2026"
Region 10,Travel and Tour Agency,DOT-R10-TTA-00903-2024,ISLAND ALL-IN TRAVEL AND TOURS,Camiguin,Guinsiliban,"Circumferencial Road, Brgy, Maac, Guinsiliban",0927 822 2222,,"June 30, 2026"
Region 10,Travel and Tour Agency,DOT-R10-TTA-00263-2022,VIAJE TAYO TRAVEL AND TOURS PROVIDER INC.,Bukidnon,Maramag,"Purok 4, Brgy. Dologon, Maramag, Bukidnon",0955 647 4512,,"June 30, 2026"
Region 10,Travel and Tour Agency,DOT-R10-TTA-00238-2022,LAKAWJUAN TRAVEL AGENCY & BUSINESS HUB,Bukidnon,Manolo Fortich,"Municipal Gymnatium Stall #462, Brgy. Tankulan",0917 643 0687,,"June 30, 2026"
Region 10,Tourism Training Center,DOT-R10-TRC-00880-2024,PHILIPPINE CALL CENTER INSTITUTE INC.,Misamis Oriental,Cagayan de Oro City,"4F Unit 402-403, TTK Tower Imperial Plaza, Velez Street",0908 812 3690,,"September 9, 2025"
Region 10,Ambulatory Clinic,DOT-R10-AMC-01054-2025,SKYLINE GASTROHEP ENDOSCOPY CENTER,Misamis Oriental,Cagayan de Oro City,"B70 L18 Phase 1A Xavier Estates, Brgy. Balulang, Cagayan de Oro City",0917 702 7756,,"July 15, 2026"
Region 10,Ambulatory Clinic,DOT-R10-AMC-00811-2024,SKINBIOSIS AESTHETIC CLINIC,Bukidnon,Malaybalay City,"Claro M. Recto Street, Brgy. 20 (Pob.) Malaybalay City, Bukidnon",0917 326 6893,,"August 31, 2025"
