Region,Enterprise Type,Enterprise Name,Accreditation No,Province,Municipality,Business Address,Contact Numbers,Business Website,Accreditation Validity
Region 5,Hotel,MELAD HOTEL INC.,DOT-R05-HTL-01885-2025,Sorsogon,Sorsogon City,"MAHARLIKA HIGHWAY, CABID-AN, SORSOGON CITY",0939-916-9336/ 0918-915-8005/0917-876-1338,,31-Oct-26
Region 5,Hotel,Naga Regent Hotel,DOT-R05-HTL-01584-2024,Camarines Sur,Naga City,"Elias Angeles St., Dinaga, Naga City",9209277723,,31-Oct-26
Region 5,Hotel,Ninong's Hotel,DOT-R05-MAB-00057-2020,Albay,Legazpi City,"Gov. Locsin St. Cor. Ma. Clara St., East Washington, Legazpi City, Albay",9178441859,,31-Oct-26
Region 5,Hotel,One Platinum Hotel,DOT-R05-HTL-00756-2022,Camarines Norte,Daet,"F. Pimentel Avenue Corner Vicente Basit St., Daet, Camarines Norte",0908-459-9595,,31-Oct-26
Region 5,Hotel,Pepperland Hotel and Leisures Corporation,DOT-R05-HTL-00080-2020,Albay,Legazpi City,"Airport Road, Washington Drive, Legazpi City, Albay",9155271115,,31-Oct-26
Region 5,Hotel,Proxy By the Oriental Albay (The Oriental Hospitality and Restaurant Management Services Inc.),DOT-R05-HTL-01083-2023,Albay,Legazpi City,"0 Primariland Inc. Bldg., P-1, PNR Penaranda, Legazpi City, Albay",9088654939,,31-Oct-26
Region 5,Hotel,RN Development Corporation / Wyndale Hotel,DOT-R05-HTL-01710-2024,Albay,Camalig,"Purok 4, Baligang, Camalig, Albay",9949102308,,31-Oct-26
Region 5,Hotel,"Robiedo Inc., - Villa Caceres Hotel",DOT-R05-HTL-00008-2020,Camarines Sur,Naga City,"Magsaysay Avenue, Concepcion Avenue, Naga City, Camarines Sur",9175512285,,31-Oct-26
Region 5,Hotel,Summit Hotel and Go Hotels Plus Naga,DOT-R05-HTL-00987-2023,Camarines Sur,Naga City,"Robinsons Place Naga Cor. Roxas Ave., & Almeda Highway, Triangulo, Naga City, Camarines Sur",9988401763,,31-Oct-26
Region 5,Hotel,The Avenue Plaza Hotel,DOT-R05-HTL-00030-2020,Camarines Sur,Naga City,"Magsaysay Avenue, Balatas, Naga City, Camarines Sur 4400",9548819999,,31-Oct-26
Region 5,Hotel,TheBlu Hotel,DOT-R05-HTL-01420-2024,Albay,Tabaco City,"Bonto Blvd., Quinale Cabasan, Tabaco City, Albay",9851108592,,31-Oct-26
Region 5,Hotel,The Litton Hotel,DOT-R05-HTL-01089-2023,Camarines Sur,Naga City,"Magsaysay Ave., Corner Carmon 1 St., Brgy. Balatas, Naga City, Camarines Sur",884-6393,,31-Oct-26
Region 5,Hotel,The Marison Hotel,DOT-R05-HTL-00033-2020,Albay,Legazpi City,"Corner Imelda Roces Ave., Brgy. 38, Gogon, Legazpi City",(052) 742 7777 / 09987765398,,31-Oct-26
Region 5,Hotel,The Oriental Legazpi,DOT-R05-HTL-01426-2024,Albay,Legazpi City,"Sto. Nino Village, Taysan, Legazpi City",9088654935,,31-Oct-26
Region 5,Hotel,UMA Hotel + Residences,DOT-R05-HTL-01149-2023,Camarines Sur,Naga City,"Magsaysay Avenue, Balatas, Naga City",054 8711111,,31-Oct-26
Region 5,Hotel,Villa Isabel Hotel Corp.,DOT-R05-HTL-01814-2025,Sorsogon,Sorsogon City,"Flores St., Brgy. Burabod, Sorsogon City, Sorsogon",9086653232,,31-Oct-26
Region 5,Homestay,Angeles Homestay,DOT-R05-HMY-00029-2020,Catanduanes,Panganiban,"Sta. Maria St., Panganiban, Catanduanes",9691624134,,31-Oct-26
Region 5,Homestay,Carlo-Ramel Homestay,DOT-R05-HMY-00386-2021,Camarines Sur,Caramoan,"Zone 6, Moraño St., Brgy. Paniman, Caramoan, Camarines Sur",09074351962 / 09308990007,,31-Oct-26
Region 5,Homestay,Casa Napundan Beach Resort,DOT-R05-HMY-00742-2022,Camarines Norte,Talisay,"Purok 2, Brgy. San Jose, Talisay, Camarines Norte",9610146688,,31-Oct-26
Region 5,Homestay,E.L. Residencia Homestay,DOT-R05-HMY-01888-2025,Camarines Norte,Daet,"Purok 1, Bagasbas, Daet, Camarines Norte",9152028577,,31-Oct-26
Region 5,Homestay,Kayla & Carly Beach Resort,DOT-R05-HMY-00472-2021,Albay,Oas,"Tapel, Oas, Albay",9672702170,,31-Oct-26
Region 5,Homestay,Paniman Bay Lodge,DOT-R05-HMY-00085-2020,Camarines Sur,Caramoan,"Zone 4, Brgy. Paniman, Caramoan, Camarines Sur",9999945564,,31-Oct-26
Region 5,Homestay,Parong Bermuda Resort/Homestay,DOT-R05-HMY-00932-2023,Albay,Manito,"Purok 4 Parong, Brgy. Pawa, Manito, Albay",9487339127,,31-Oct-26
Region 5,Homestay,Tribe Inn,DOT-R05-HMY-00586-2022,Camarines Sur,Caramoan,"Real St. Tawog, Caramoan, Camarines Sur",9108371829,,31-Oct-26
Region 5,Tourist Shop (Department Store / Souvenir Shop / Specialty Shop),BARCELONA TOURIST SHOP,DOT-R05-TSP-00116-2021,Sorsogon,Barcelona,"Barcelona Ruins Park, Heritage Tourism Sites Cluster",9299575502,,24-Sep-25
Region 5,Tourist Shop (Department Store / Souvenir Shop / Specialty Shop),CATANDUANES SUPERMART,DOT-R05-TSP-00003-2020,Catanduanes,Virac,"San Juan St. Virac, Catanduanes",9568454649,,17-Oct-25
Region 5,Tourist Shop (Department Store / Souvenir Shop / Specialty Shop),Rodeoleathercrafts Bags & Wallet Manufacturing,DOT-R05-TSP-00609-2022,Masbate,Masbate City,"Pating (Pob.), Masbate City, Masbate",9988666359,,13-Mar-26
Region 5,MICE Venue / Facility,Casa Ver'Amore Inc.,DOT-R05-MCF-01067-2023,Albay,Tabaco City,"Jasmin St., Bombon, Tabaco City",09089522422 / 09293357398,,30-Jun-26
Region 5,MICE Venue / Facility,Champagne Garden Corp.,DOT-R05-MCF-00455-2021,Camarines Sur,Naga City,"Apo Drive, City Heights Subd., Brgy. Concepcion Pequeña, Naga City, Camarines Sur",0998 972 8352,,30-Jun-26
Region 5,MICE Organizer,JMO EVENTS MANAGEMENT SERVICES,DOT-R05-MCO-01120-2023,Albay,Daraga,"Rizal St., Sagpon, Daraga, Albay",9473723985,,30-Jun-26
Region 5,MICE Organizer,Mayon Global Careers Co.,DOT-R05-MCO-01061-2023,Albay,Legazpi City,"124 Magnolia St., Vel-Amor",9086467624,,30-Jun-26
Region 5,MICE Organizer,Marbella Events and Management Services,DOT-R05-MCO-00731-2022,Albay,Legazpi City,"AME Bldg., Room 5 G/F, Rizal St., Legazpi City, Albay",9567863212,,30-Jun-26
Region 5,MICE Organizer,Meneses Training and Search Services,DOT-R05-MCO-01150-2023,Albay,Daraga,"2nd Floor, Room 3, Lorete Building, Brgy. Kimantong, Daraga, Albay",09673170153 / (052) 201 0227,,30-Jun-26
Region 5,Spa,Hapihap Spa Wellness Center Inc (Naga City),DOT-R05-SPA-00170-2021,Camarines Sur,Naga City,"2/F Centro Square Bldg., Zone 6, Peñafrancia Ave., San Francisco, Naga City, Camarines Sur",9569347692,,4-Apr-26
Region 5,Spa,Hapihap Spa Wellness Center Inc (Iriga City),DOT-R05-SPA-01762-2024,Camarines Sur,Iriga City,"Ground Floor, Lemars Hotel Bldg., San Roque, Iriga City, Camarines Sur",9604663315,,9-Dec-25
Region 5,Spa,Hapihap Spa Wellness Center Inc (Sorsogon City),DOT-R05-SPA-01854-2025,Sorsogon,Sorsogon City,"Jebulan Bldg., Rizal St., Brgy. Tugos, Sorsogon City, Sorsogon",9626352514,,4-Apr-26
Region 5,Spa,Secret Blend Salon and Ayurveda Spa Branch,DOT-R05-SPA-00452-2021,Camarines Sur,Iriga City,"SLT Bldg., Zone 4, San Roque, Iriga City, Camarines Sur",9209614418,,1-Oct-25
Region 5,Spa,Secret Blend Salon and Ayurveda Spa Main,DOT-R05-SPA-1008-2023,Camarines Sur,Iriga City,"LST Bldg., Gonzales St., San Francisco, Iriga City, Camarines Sur",9209614418,,1-Oct-25
Region 5,Tourism Recreation Center,MayonSkydrive ATV Adventure,DOT-R05-SRC-01044-2023,Albay,Daraga,"Cagsawa Road, Busay, Daraga, Albay",9778400252,,16-Jun-26
Region 5,Tourism Recreation Center,Nature Funtraventure and Tour Services,DOT-R05-SRC-00581-2022,Albay,Camalig,"Zone 5 Brgy. Sumlang, Camalig, Albay",6688873244,,7-Oct-25
Region 5,Tourism Recreation Center,Off-Road Trail Adventure Park,DOT-R05-SRC-01129-2023,Albay,Daraga,"Purok 5, Busay, Daraga, Albay",9615216733,,16-Sep-25
Region 5,Tourism Recreation Center,Your Brother ATV Recreational Center,DOT-R05-SRC-00559-2022,Albay,Legazpi City,"Purok 3, Brgy. Pawa, Legazpi City, Albay",9175958859,,"July 16, 2026"
Region 5,Tourism Training Center,Thrive Tourism and Hospitality Learning Center,DOT-R05-TRC-01896-2025,Albay,Bacacay,"Bes Street, Brgy. 3, Bacacay, Albay",9630803094,,10-Jun-26
