Region,Region,Enterprise Type,Accreditation No,Enterprise Name,Province,Municipality,Business Address,Contact Numbers,Business Website,Accreditation Validity
,Region 4A,Mabuhay Accommodation,DOT-R4A-MAB-01985-2024,E-PLACE RESORT AND LEISURE FARM,Cavite,Magallanes,115 Brgy. Kabulusan,,,"October 31, 2025"
,Region 4A,Mabuhay Accommodation,DOT-R4A-MAB-01022-2022,BIGALBAL RESORT AND COTTAGES,Cavite,Naic,"9011 Timalan Balsahan Naic, Cavite",9631752820,,"October 31, 2025"
,Region 4A,Mabuhay Accommodation,DOT-R4A-MAB-01015-2022,BEST GARDEN RESORT,Cavite,Silang,"4055 A Purok 7, Balite, Silang, Cavite",9171251564,,"October 31, 2025"
,Region 4A,Mabuhay Accommodation,DOT-R4A-MAB-01943-2024,SWEET-COUNTRY INN,Cavite,Silang,BRGY. BIGA 1,(046) 409 1900,,"October 31, 2025"
,Region 4A,Mabuhay Accommodation,DOT-R4A-MAB-01940-2024,THE PARK SILANG,Cavite,Silang,"Phase 3, Richlandhills Subdivision, Bryg. Puting Kahoy",9178375572,https://www.theparksilang.com,"October 31, 2025"
,Region 4A,Mabuhay Accommodation,DOT-R4A-MAB-00528-2021,AROHA TAGAYTAY HOTEL & RESTAURANT,Cavite,Tagaytay City,"Brgy. Francisco, Tagaytay-Sta Rosa Rd., Tagaytay City",9499113136,,"October 31, 2026"
,Region 4A,Mabuhay Accommodation,DOT-R4A-MAB-00244-2021 (M),CASA DE MIGUELITOS RESORT,Cavite,Tagaytay City,"316-A Daang Luma, Brgy. Kaybagal North, Tagaytay City, Cavite",,,"October 31, 2025"
,Region 4A,Mabuhay Accommodation,DOT-R4A-MAB-00535-2021,MAHARLIKA'S PEAK TRANSIENT HOUSE,Cavite,Tagaytay City,"30 Aguinaldo Highway, Brgy. Mahalika West",9178398611,,"October 31, 2025"
,Region 4A,Mabuhay Accommodation,DOT-R4A-MAB-00570-2022,MONALISA TOURIST INN,Cavite,Tagaytay City,Purok 26 Barangay Francisco Tagaytay City,9328428371,,"October 31, 2025"
,Region 4A,Mabuhay Accommodation,DOT-R4A-MAB-00674-2022,"NEST BED, BREAKFAST AND CAFE",Cavite,Tagaytay City,"4th Floor Pineda Building, San Jose, Tagaytay City",9662151824,,"October 31, 2025"
,Region 4A,Mabuhay Accommodation,DOT-R4A-MAB-00639-2022,Rangya Hotel,Cavite,Tagaytay City,"Gen. Emilio Aguinaldo Highway, Maiitim II East, Tagaytay City, Cavite",63 9176385762,,"October 31, 2025"
,Region 4A,Mabuhay Accommodation,DOT-R4A-MAB-00390-2021,TAGAYTAY HAVEN HOTEL MENDEZ,Cavite,Tagaytay City,"Mendez Junction West, Tagaytay City, Cavite",9566723514,,"October 31, 2026"
,Region 4A,Mabuhay Accommodation,DOT-R4A-MAB-00386-2021,TAGAYTAY HAVEN HOTEL ULAT,Cavite,Tagaytay City,"Ulat Rd, Brgy Francisco, Tagaytay City, Cavite",9156078966,,"October 31, 2026"
,Region 4A,Mabuhay Accommodation,DOT-R4A-MAB-01390-2023,MARINAIO'S TRAVELLERS INN,Cavite,Trece Martires City,"BULEK ROAD, BRGY LUCIANO, TRECE MARTIRES",465058654,,"October 31, 2025"
,Region 4A,Mabuhay Accommodation,DOT-R4A-MAB-00189-2021 (M),MASPETH FAMILY RESORT,Laguna,Bay,"Goldenfields, Brgy. Maitim, Bay, Laguna",,,"October 31, 2025"
,Region 4A,Mabuhay Accommodation,DOT-R4A-MAB-02185-2025,La Marimar Executive Inn,Laguna,Biñan,"Gen. Malvar st., Brgy Tubigan",9328428374,,"October 31, 2025"
,Region 4A,Mabuhay Accommodation,DOT-R4A-MAB-00356-2021,Marina Traveller's Hotel,Laguna,Biñan,2nd Floor Severo Bldg. E. Gonzales Street,9171588025,,"October 31, 2025"
,Region 4A,Mabuhay Accommodation,DOT-R4A-MAB-00367-2021,MAHALINA INN,Laguna,Biñan,Gen. Malvar St. Brgy. Tubigan Biñan Laguna,9772040605,,"October 31, 2026"
,Region 4A,Mabuhay Accommodation,DOT-R4A-MAB-01406-2023,ASYLO RESORT,Laguna,Calamba City,"LOT 18 BLOCK 1 DAMA DE NOCHE COR ROSAL ST., SOLEMAR DEL PANSOL, CALAMABA CITY, LAGUNA",09178691018/09328695079,https://www.facebook.com/asylo.resort,"October 31, 2025"
,Region 4A,Mabuhay Accommodation,DOT-R4A-MAB-00541-2021 (M),CHATEAU BLEU RESORT,Laguna,Calamba City,"264 Purok 1, Masili, Calamba City, Laguna",,,"October 31, 2025"
,Region 4A,Mabuhay Accommodation,DOT-R4A-MAB-01393-2023,JEN-KAT HOT SPRING RESORT,Laguna,Calamba City,Purok 1,049 5237624,,"October 31, 2025"
,Region 4A,Mabuhay Accommodation,DOT-R4A-MAB-00521-2021,LARESIO LAKESIDE RESORT AND SPA,Laguna,Los Baños,Alviar Compound Purok 1-B,495020168,http://www.laresio.com,"October 31, 2026"
,Region 4A,Mabuhay Accommodation,DOT-R4A-MAB-00453-2021 (M),MONTE VISTA HOTSPRING & CONFERENCE RESORT,Laguna,Calamba City,"National Highway, Brgy. Pansol, Calamba City, Laguna",,,"October 31, 2025"
,Region 4A,Mabuhay Accommodation,DOT-R4A-MAB-00196-2021,MONTRIAL LODGE,Laguna,Calamba City,"Montrial Lodge Compound Paciano Rizal, Calamba City, Laguna",9338243865,,"October 31, 2026"
,Region 4A,Mabuhay Accommodation,DOT-R4A-MAB-02052-2024,RIVERVIEW RESORT AND CONFERENCE CENTER,Laguna,Calamba City,"365 Manila S Rd, Brgy. Parian",495453421,,"October 31, 2026"
,Region 4A,Mabuhay Accommodation,DOT-R4A-MAB-00146-2021,SOUTHWINDS RESORT,Laguna,Calamba City,"National Highway, Pansol",(049) 502-8060,,"October 31, 2025"
,Region 4A,Mabuhay Accommodation,DOT-R4A-MAB-02219-2025,SPRING MEMORIES RESORT,Laguna,Calamba City,"Lot 10 Block 5 Catleya St., Solemar del Pansol,",9189150944,,"October 31, 2025"
,Region 4A,Mabuhay Accommodation,DOT-R4A-MAB-00213-2021 (M),CITY OF SPRINGS RESORT AND HOTEL,Laguna,Los Baños,"147 N. Villegas St. Baybayin, Los Banos Laguna",,,"October 31, 2025"
,Region 4A,Mabuhay Accommodation,DOT-R4A-MAB-00228-2021,makiling onsen hotel,Laguna,Los Baños,national hi-way makiling heights subd. brgy. lalakay,495366979,,"October 31, 2025"
,Region 4A,Mabuhay Accommodation,DOT-R4A-MAB-01470-2023,APA111 FARMS INC.,Laguna,Majayjay,"Liliw-Majayjay Rd., Brgy. Coralao Majayjay, Laguna",09178562568 / 09189853258,,"October 31, 2025"
,Region 4A,Mabuhay Accommodation,DOT-R4A-MAB-02157-2025,GREEN NATURE RESORT & LEISURE PARK,Laguna,Nagcarlan,"Purok 1, Silangang Kabubuhayan, Nagcarlan, Laguna",9171824672,,"October 31, 2026"
,Region 4A,Mabuhay Accommodation,DOT-R4A-MAB-00190-2021,NAGCARLAN FOREST RESORT,Laguna,Nagcarlan,Silangan Napapatid,9273962590,,"October 31, 2026"
,Region 4A,Mabuhay Accommodation,DOT-R4A-RES-00027-2020,VILLA GREGORIA RESORT,Laguna,Nagcarlan,"Purok 7, Brgy. Buboy",0977-6002117 / 049-5730771,,"October 31, 2026"
,Region 4A,Mabuhay Accommodation,DOT-R4A-MAB-01863-2024,WOODLAND VILLA,Laguna,Nagcarlan,Barangay Taytay,09171139808 / 09166210318,,"October 31, 2025"
,Region 4A,Mabuhay Accommodation,DOT-R4A-MAB-01168-2023,CASA MARINA BED AND BREAKFAST,Laguna,Pagsanjan,Casa Marina KM 92 General Taiño St. Brgy. I (Pob.),9171759427,,"October 31, 2025"
,Region 4A,Mabuhay Accommodation,DOT-R4A-MAB-01854-2024,MANCION BAKASYUNAN RESORT AND CONFERENCE CENTER,Laguna,San Pablo City,"9336 NR San Bartolome, Brgy San Bartolome Purok 1",9150824564,http://www.bakasyunanresorts.com/,"October 31, 2025"
,Region 4A,Mabuhay Accommodation,DOT-R4A-MAB-00940-2022,CITRUS LODGE,Laguna,Santa Rosa City,"National Highway Dita, Santa Rosa City, Laguna",9338243863,,"October 31, 2026"
,Region 4A,Mabuhay Accommodation,DOT-R4A-MAB-00427-2021,Kawayan Villas (formerly Kawayan Resort),Laguna,Santa Rosa City,Lot 4 NIA Road,"09228774146, 09176765808",,"October 31, 2025"
,Region 4A,Mabuhay Accommodation,DOT-R4A-MAB-00669-2022 (M),ASIA BLOOMS HOTEL,Laguna,Santa Cruz,"National Highway Brgy. Patimbao, Sta Cruz, Laguna",,,"October 31, 2025"
,Region 4A,Mabuhay Accommodation,DOT-R4A-MAB-01792-2024,LADY ESTER GRAND VILLA RESORT AND FARM,Laguna,Santa Cruz,PUROK ILANG ILANG,9153495650,,"October 31, 2026"
,Region 4A,Mabuhay Accommodation,DOT-R4A-MAB-01173-2023,SHEPHERD'S RIDGE MOUNTAIN RESORT,Laguna,Santa Maria,"Paang Bundok, Brgy. Cambuja, Santa Maria, Laguna",9088180631,https://www.shepherdsridgeph.com/,"October 31, 2025"
,Region 4A,Mabuhay Accommodation,DOT-R4A-MAB-01862-2024,BANAHAW CIRCLE NATURE RETREAT,Quezon,Dolores,"Holy Trinity Compound, Santa Lucia",9984058149,https://www.banahawcircle.com/,"October 31, 2025"
,Region 4A,Mabuhay Accommodation,DOT-R4A-MAB-00515-2021,DELI'S GARDEN AND RESORT,Quezon,Dolores,SITIO NANGKAAN. BRGY. STA. LUCIA,9498103600,,"October 31, 2025"
,Region 4A,Mabuhay Accommodation,DOT-R4A-MAB-01903-2024,Rodela's Transient Inn,Quezon,Dolores,431 Brgy. Bulakin 1,0927 034 2991,,"October 31, 2025"
,Region 4A,Mabuhay Accommodation,DOT-R4A-MAB-02080-2025,Blue Pavilion Beach Resort,Quezon,Infanta,Kilometer 6 Dinahican Road,9178562932,https://www.bluepavilionresort.com/en/,"October 31, 2025"
,Region 4A,Mabuhay Accommodation,DOT-R4A-MAB-02087-2021,Cote D' Azur Beach Resort,Quezon,Infanta,"Brgy. Abiawin, Infanta, Quezon",09175229663 / 09175100284,,"October 31, 2025"
,Region 4A,Mabuhay Accommodation,DOT-R4A-MAB-01881-2024,Golden Nakiwap Beach Resort,Quezon,Infanta,"Purok Puruhan, Brgy. Dinahican",9257778432,,"October 31, 2025"
,Region 4A,Mabuhay Accommodation,DOT-R4A-MAB-02058-2024,Upgrade Beach Resort,Quezon,Infanta,"Purok Dahlia, Abiawin",9209708877,,"October 31, 2025"
,Region 4A,Mabuhay Accommodation,DOT-R4A-MAB-01883-2024,WMV Hotel and Restaurant,Quezon,Infanta,"AA's Place Building, Plaridel Street, Poblacion 38",09212496451 / 0425354572,,"October 31, 2025"
,Region 4A,Mabuhay Accommodation,DOT-R4A-MAB-01412-2023,ROSPAN AMUSEMENT,Quezon,Lopez,Maharlika Highway,9479815222,,"October 31, 2025"
,Region 4A,Mabuhay Accommodation,DOT-R4A-MAB-02051-2024,PATIO RIZAL HOTEL,Quezon,Lucban,85 Quezon Avenue Brgy. 8,042-5402107,,"October 31, 2025"
,Region 4A,Mabuhay Accommodation,DOT-R4A-MAB-01218-2023,Adamian Apartelle,Quezon,Mauban,#266 Sitio Sabang Brgy. Polo,9183340980,,"October 31, 2025"
,Region 4A,Mabuhay Accommodation,DOT-R4A-MAB-00270-2021,A. APPLETON BEACH RESORT,Quezon,Real,sitio talisay,9985932521,,"October 31, 2025"
,Region 4A,Mabuhay Accommodation,DOT-R4A-MAB-01856-2024,RMJMS RESORT,Quezon,San Antonio,"PUROK 1, Sampaga",9054212372,https://www.facebook.com/rmjmsgardenresort,"October 31, 2025"
,Region 4A,Mabuhay Accommodation,DOT-R4A-MAB-02063-2024,BALAI SADYAYA RESORT,Quezon,Sariaya,"Kamagong Road, Brgy. Balubal",9228336367,,"October 31, 2026"
,Region 4A,Mabuhay Accommodation,DOT-R4A-MAB-01930-2024,Pompeo and Luming's Inn,Quezon,Tagkawayan,"119 Morato Street, Santa Cecilia",,,"October 31, 2025"
,Region 4A,Mabuhay Accommodation,DOT-R4A-MAB-00935-2022,VILLA JULIANA RESORT,Quezon,Tayabas City,43 M. H. Del Pilar St. Agustias Zone I,09228889094/09178222149,,"October 31, 2025"
,Region 4A,Mabuhay Accommodation,DOT-R4A-MAB-02152-2025,BOSO BOSO HIGHLANDS RESORT AND HOTEL,Rizal,Antipolo City,"Sitio Cabading, Brgy. San Jose (Pob.), Antipolo City",9989573740,,"October 31, 2025"
,Region 4A,Mabuhay Accommodation,DOT-R4A-MAB-00537-2021,BOUGANVILLE RESORT AND HOTEL,Rizal,Antipolo City,"25 Taktak Road, Dela Paz",8-234-0876,https://www.facebook.com/bouganvilleresort,"October 31, 2026"
,Region 4A,Mabuhay Accommodation,DOT-R4A-MAB-00144-2021,"FIRST PACIFIC LEADERSHIP ACADEMY, INC.",Rizal,Antipolo City,"Km27 Sumulong Highway, Brgy. Sta. Cruz, Antipolo City",86963051,https://fpla.com.ph/,"October 31, 2027"
,Region 4A,Mabuhay Accommodation,DOT-R4A-MAB-01789-2024,FORTUNE PARK RESORT,Rizal,Antipolo City,"San Lorenzo Ruiz Brgy. San Roque, Antipolo",9171271400,,"October 31, 2026"
,Region 4A,Mabuhay Accommodation,DOT-R4A-MAB-02146-2025,JB PARK-INN APPARTELLE,Rizal,Antipolo City,"Block 3, Lot16, Parkhills Subd., Inarawan, Antipolo City, Rizal",271185852,,"October 31, 2025"
,Region 4A,Mabuhay Accommodation,DOT-R4A-MAB-01500-2023,Mount Purro Nature Reserve,Rizal,Antipolo City,Purok 5,8542-3005,https://www.mountpurronaturereserve.com,"October 31, 2025"
,Region 4A,Mabuhay Accommodation,DOT-R4A-MAB-00556-2021,ROCKPINES PENSION HOUSE,Rizal,Antipolo City,"25 ML QUEZON EXT., NAYONG SILANGAN SUBD.",02 89427322,,"October 31, 2026"
,Region 4A,Mabuhay Accommodation,DOT-R4A-MAB-02154-2025,TOBI'S GUEST HOUSE,Rizal,Antipolo City,"Lt 1 Blk 5, Bonanza Bend cor. Curve St. Ponderosa Heights Subdvision, Brgy San Roque, Antipolo City",9171005353,https://www.tobisescape.com/,"October 30, 2025"
,Region 4A,Mabuhay Accommodation,DOT-R4A-MAB-02110-2025,HOTEL SOGO,Rizal,Cainta,"Imelda Ave., San Isidro",9774000922,,"October 31, 2026"
,Region 4A,Mabuhay Accommodation,DOT-R4A-MAB-01878-2024,2430 Skies Hotel,Rizal,San Mateo,#32 Beneliza St. cor Mayor Jose F. Diaz Ave. Ampid I,0282441744 / 09209471380,,"October 31, 2025"
,Region 4A,Mabuhay Accommodation,DOT-R4A-MAB-01859-2024,MONACO HOTEL,Rizal,Taytay,"The Monaco Strip Bldg. Ortigas Extension, Dolores (Pob.)",9178264185,https://monacohotel.com.ph,"October 31, 2025"
,Region 4A,Mabuhay Accommodation,DOT-R4A-MAB-02040-2024,CASITA MILLENIA TRANSIENT HOUSE,Rizal,San Mateo,Block 28 Lot 9 Monterey Hills Phase 2 Silangan,9297455697,,"October 31, 2025"
,Region 4A,Mabuhay Accommodation,DOT-R4A-MAB-01931-2024,UCM Leisure Park,Rizal,San Mateo,LOT 13 M OLD ARMY ROAD BRGY SILANGAN,,,"October 31, 2025"
,Region 4A,MICE Venue / Facility,DOT-R4A-MCF-02026-2024,Twin Lakes Hotel - Grand Ballroom,Batangas,Laurel,"Tagaytay-Nasugbu Highway, Bgy Dayap Itaas",433021515,https://twinlakeshotel.com.ph,"June 30, 2026"
,Region 4A,MICE Venue / Facility,DOT-R4A-MCF-00904-2022,AZIENDA VERDE ALFONSO,Cavite,Alfonso,Del Pilar St. Brgy. V (Pob),,,"June 30, 2026"
,Region 4A,MICE Venue / Facility,DOT-R4A-MCF-02226-2025,"CLEO BY THE BLUE LEAF (SEVEN TALL TREES EVENTS, INC.)",Cavite,Carmona,Gate 5 Congressional Rd. Carmona Cavite,9171882583,,"June 30, 2026"
,Region 4A,MICE Venue / Facility,DOT-R4A-MCF-00169-2021,Development Academy of the Philippines Conference Center,Cavite,Tagaytay City,"Isaac Tolentino Blvd., Brgy., Sungay East",046-483-2190 to 292,https://www.dap.edu.ph,"June 30, 2026"
,Region 4A,MICE Venue / Facility,DOT-R4A-MCF-00473-2021,JARDIN DE MIRAMAR REALTY,Rizal,Antipolo City,"#279 Buliran Road, Brgy. San Isidro",85843199 / 09176507658,https://jardindemiramareventsvenue.com/,"June 30, 2026"
,Region 4A,MICE Venue / Facility,DOT-R4A-MCF-01886-2024,The Garden Hive Events Place Antipolo and Catering Services Inc.,Rizal,Antipolo City,Lot 2 D2 ML Quezon Ext. Brgy. San Roque,9178973042,http://www.gardenhiveeventsplaceantipolo.com,"June 30, 2026"
,Region 4A,MICE Organizer,DOT-R4A-MCO-02060-2024,Certegy Event Solution,Rizal,Antipolo City,"Lot 2 Block 14 Judith Street Vermont Royale Executive Village, Mayamot",9165974950,,"June 30, 2025"
,Region 4A,MICE Organizer,DOT-R4A-MCO-01839-2024,BCB Events and Marketing Management Inc.,Rizal,Cainta,"3rd Floor The Garden Walk 105 Felix Ave., San Isidro",9088722823,,"June 30, 2025"
,Region 4A,MICE Organizer,DOT-R4A-MCO-02035-2024,KLEAL ENTERTAINMENT PRODUCTION,Rizal,Rodriguez,"Block 15 Lot 20 San Francisco St., Cortijos de San Rafael, San Rafael",8282-0568,https://www.kleal-ep.com/home,"June 30, 2025"
,Region 4A,Resort,DOT-R4A-RES-01825-2024,BATANGAS COUNTRY CLUB,Batangas,Batangas City,"Lourdes Village Bolbok, Batangas City",722-1228,https://www.batangascountryclub.com,"October 31, 2026"
,Region 4A,Resort,DOT-R4A-RES-01399-2023,DREAMLAND PARADISE RESORT,Batangas,Batangas City,Sitio Malao,"09616390930, 09178905137",https://www.dreamlandparadiseresort.com/,"October 31, 2025"
,Region 4A,Resort,DOT-R4A-RES-02043-2024,AQUARIA WATER PARK & CRUSOE CABINS,Batangas,Calatagan,"Sta. Ana, Calatagan, Batangas",02 8836 5055,https://www.millennial-resorts.com/,"October 31, 2026"
,Region 4A,Resort,DOT-R4A-RES-00583-2022,LAGO DE ORO,Batangas,Calatagan,LAGO DE ORO,09266945590/09175042685,https://www.lago-de-oro.com,"October 31, 2025"
,Region 4A,Resort,DOT-R4A-RES-00065-2021,Stilts Calatagan Beach Resort,Batangas,Calatagan,Jose B. Coz Road,9952731040,https://www.stiltscalataganbeachresort.net/,"October 31, 2025"
,Region 4A,Resort,DOT-R4A-RES-01487-2023,Kilyawan Farm Resort,Batangas,Ibaan,"Villa Vicenta Farms, Ibaan-Lipa road",0915 266 4305,https://www.facebook.com/KilyawanFarmResort,"October 31, 2025"
,Region 4A,Resort,DOT-R4A-RES-00078-2021,CORAL BEACH CLUB,Batangas,Lian,"CORAL BEACH CLUB MATABUNGKAY LIAN, BATANGAS",9179014635,,"October 31, 2026"
,Region 4A,Resort,DOT-R4A-RES-01408-2023,Little Valley Resort,Batangas,Lipa City,"537 Carnelian St. Purok 5, Brgy. Pangao, Lipa City, Batangas",(0917) 845-3034 / (043) 341-2261,https://www.littlevalleyresorts.com,"October 31, 2025"
,Region 4A,Resort,DOT-R4A-RES-02004-2024,MOUNT MALARAYAT GOLF AND COUNTRY CLUB,Batangas,Lipa City,Brgy. Dagatan,,,"October 31, 2026"
,Region 4A,Resort,DOT-R4A-RES-00115-2021,THE FARM AT SAN BENITO,Batangas,Lipa City,119 Tipacan,09175722258 / 09175725566 / 043 774 0644,,"October 31, 2026"
,Region 4A,Resort,DOT-R4A-RES-02019-2024,THE OLD GROVE FARMSTEAD,Batangas,Lipa City,"121 PUROK 1, LODLOD",9178952829,,"October 31, 2026"
,Region 4A,Resort,DOT-R4A-RES-01405-2023,RIVER HILLS BEACH RESORT,Batangas,Lobo,SITIO MARIWASA BIGA LOBO,9175822759,,"October 31, 2025"
,Region 4A,Resort,DOT-R4A-RES-00009-2020,AIYANAR BEACH AND DIVE RESORT INC,Batangas,Mabini,,,,"October 31, 2026"
,Region 4A,Resort,DOT-R4A-RES-01272-2023,ALTAMARE DIVE AND LEISURE RESORT,Batangas,Mabini,Altamare Dive and Leisure Resort Mabini Batangas,9177103172,http://www.altamare.com.ph,"October 31, 2026"
,Region 4A,Resort,DOT-R4A-RES-00038-2020,CASA ESCONDIDA ANILAO RESORT AND DIVE CENTER,Batangas,Mabini,Sitio Siiran,9778372272,,"October 31, 2025"
,Region 4A,Resort,DOT-R4A-RES-00018-2020,PIER UNO DIVE RESORT,Batangas,Mabini,"BARANGAY SOLO, MABINI, BATANGAS",9178081877,https://www.pierunoresort.ph,"October 31, 2025"
,Region 4A,Resort,DOT-R4A-RES-00727-2022,SOLITUDE ACACIA RESORT,Batangas,Mabini,"Sitio Siiran Barangay Ligaya, Mabini, Batangas",9662002941,https://solitude-acacia.com,"October 31, 2026"
,Region 4A,Resort,DOT-R4A-RES-00024-2020,SHERCON RESORT AND ECOLOGY PARK,Batangas,Mataas na Kahoy,Purok 6 Barangay San Sebastian Mataasnakahoy Batangas,0917-506-1204 ; 0922-838-5293 ; 0939-904-7130 ; 0917-117-5888,https://www.sherconresort.net/,"October 31, 2026"
,Region 4A,Resort,DOT-R4A-RES-00156-2021,BERNABEACH RESORT INC.,Batangas,Nasugbu,APACIBLE BLVD.,043-4160442,,"October 31, 2025"
,Region 4A,Resort,DOT-R4A-RES-01380-2023,MB COVE,Batangas,Nasugbu,SAMPAGUITA ST.,9993373321,,"October 31, 2025"
,Region 4A,Resort,DOT-R4A-RES-00094-2021,BLUE CORAL BEACH RESORT,Batangas,San Juan,"Laiya Road, Laiya-Aplaya",9608315947,,"October 31, 2026"
,Region 4A,Resort,DOT-R4A-RES-00067-2021,Cala Laiya Resort,Batangas,San Juan,"Sitio Marulas, Laiya Ibabao, San Juan, Batangas",9178839900,,"October 31, 2026"
,Region 4A,Resort,DOT-R4A-RES-00081-2021,EL JARDIN DE ZAIDA RESORT AND SPA,Batangas,San Juan,"Sitio Lagkit, Barangay Abung",9176767737,,"October 31, 2026"
,Region 4A,Resort,DOT-R4A-RES-00361-2021,Klub Keluarga,Batangas,San Juan,Sitio Napayong,"09178858887, 09189592596",,"October 31, 2025"
,Region 4A,Resort,DOT-R4A-RES-01299-2023,LAIYA WHITE COVE BEACH RESORT (INVESTLAND PROPERTIES INC),Batangas,San Juan,"112 BRGY. LAIYA APLAYA, SAN JUAN, BATANGAS",9289973646,http://www.laiyawhitecovebeachresort.com,"October 31, 2025"
,Region 4A,Resort,DOT-R4A-RES-00055-2021,LA LUZ BEACH RESORT & SPA,Batangas,San Juan,Brgy. Hugom,9206038814,https://www.laluzbeachresort.com/,"October 31, 2026"
,Region 4A,Resort,DOT-R4A-RES-01396-2023,NAHAS BEACH RESORT,Batangas,San Juan,"PUTINGBUHANGIN, SAN JUAN BATANGAS",9773669129,,"October 31, 2025"
,Region 4A,Resort,DOT-R4A-RES-00008-2020,PALM BEACH RESORT,Batangas,San Juan,Brgy. Hugom,9199945781,https://palmbeachlaiya.com/,"October 31, 2026"
,Region 4A,Resort,DOT-R4A-RES-00040-2020,SABANGAN BEACH RESORT,Batangas,San Juan,"Brgy. Laiya-Aplaya San Juan, Batangas",9190059203,https://www.sabangan.com/,"October 31, 2026"
,Region 4A,Resort,DOT-R4A-RES-01164-2023,The Henry Resort Taramindu Laiya,Batangas,San Juan,"Laiya-Aplaya, San Juan, Batangas",9190956301,https://laiya.thehenryhotel.com/,"October 31, 2025"
,Region 4A,Resort,DOT-R4A-RES-01087-2022,VIRGIN BEACH RESORT,Batangas,San Juan,"Hugom, Brgy. Laiya-Aplaya, San Juan. Batangas",84297344,https://virginbeachresort.com/,"October 31, 2026"
,Region 4A,Resort,DOT-R4A-RES-00880-2022,STARBOARD DIVING RESORT OPC,Batangas,San Luis,Brgy. Locloc Sitio Ligpo San Luis Batangas City,9999967886,,"October 31, 2025"
,Region 4A,Resort,DOT-R4A-RES-00016-2023 (M),CLUB BALAI ISABEL,Batangas,Talisay,"BRGY. BANGA, TALISAY, BATANGAS",,,"October 31, 2025"
,Region 4A,Resort,DOT-R4A-RES-01787-2024,NDN RESORT AND EVENTS PLACE,Batangas,Talisay,Talisay-Tanauan Road,9177068279,https://www.facebook.com/ndnresort,"October 31, 2025"
,Region 4A,Resort,DOT-R4A-RES-01401-2023,CASA MARCELINO MOUNTAIN RESORT,Cavite,Alfonso,Remulla st Esperanza Ibaba Alfonso Cavite,9668168286,,"October 31, 2025"
,Region 4A,Resort,DOT-R4A-RES-01468-2023,Sonya's Secret Garden,Cavite,Alfonso,Sonya's Garden,9175329097,https://sonyasgarden.com/,"October 31, 2025"
,Region 4A,Resort,DOT-R4A-RES-01416-2023,YSSABEL EVENTS PLACE RENTAL,Cavite,Dasmariñas City,9066 AMUNTAY ROAD,046-4163563,,"October 31, 2025"
,Region 4A,Resort,DOT-R4A-RES-00546-2021,Alta Rios Resorts Inc.,Cavite,Indang,Brgy.Lumampong Halayhay,09778295118 / 09209580996,,"October 31, 2025"
,Region 4A,Resort,DOT-R4A-RES-00012-2020,ANYA RESORT TAGAYTAY,Cavite,Tagaytay City,"Brgy. Magasawang Ilat, Tagaytay, Cavite",464236976,https://www.anyaresorts.com/,"October 31, 2026"
,Region 4A,Resort,DOT-R4A-RES-00139-2021,Nurture Wellness Village,Cavite,Tagaytay City,7310 Pulong Sagingan,9176878873,https://nurture.com.ph,"October 31, 2026"
,Region 4A,Resort,DOT-R4A-RES-01826-2024,VILLA EXCELLANCE BEACH AND WAVE POOL RESORT,Cavite,Tanza,"Brgy.Sahud Ulan, Tanza, Cavite, Antero Soriano Highway",9165232802,https://villaexcellance.com/,"October 31, 2026"
,Region 4A,Resort,DOT-R4A-RES-00160-2021,LOTUSPOD BED AND BREAKFAST,Laguna,Bay,"Kalsadang Putol, Brgy. Puypuy",9175267619,https://www.lotuspodbedandbreakfast.com/,"October 31, 2026"
,Region 4A,Resort,DOT-R4A-RES-00148-2021,88 HOT SPRING RESORT,Laguna,Calamba City,9061 NATIONAL HIGHWAY,(049) 5236417,http://88hotspring.com,"October 31, 2025"
,Region 4A,Resort,DOT-R4A-RES-01386-2023,MARY ANN'S PLACE PRIVATE RESORT,Laguna,Calamba City,LAZARO COMPOUND,9183922556,,"October 31, 2025"
,Region 4A,Resort,DOT-R4A-RES-00275-2021,"SOL Y VIENTO MOUNTAIN HOT SPRING RESORT, INC.",Laguna,Calamba City,Km55 Makiling Heights Pansol Calamba City,9065555913,https://syvhotelsandresorts.com/,"October 31, 2026"
,Region 4A,Resort,DOT-R4A-RES-00018-2023 (M),SPACIO CALIRAYA EVENTS VENUE,Laguna,Lumban,"Green Farm Village, Brgy. Lewin, Lumban, Laguna",,,"October 31, 2025"
,Region 4A,Resort,DOT-R4A-RES-00352-2021,LEGAZIA RESORT,Laguna,Nagcarlan,"Purok 1 Brgy. banago, Nagcarlan, Laguna",9287027939,,"October 31, 2025"
,Region 4A,Resort,DOT-R4A-RES-00997-2022,SOUTHPICK RESORT AND HOTEL,Laguna,Santa Rosa City,"#1 Tatlonghari Street, Brgy. Sinalhan",9279522822,,"October 31, 2026"
,Region 4A,Resort,DOT-R4A-RES-01400-2023,CasaJoros Beach Resort,Quezon,Catanauan,Sitio Camagong Barangay Tuhian,9770514535,,"October 31, 2025"
,Region 4A,Resort,DOT-R4A-RES-00450-2021,BANGKONG KAHOY VALLEY CAMPSITE AND ECO TOURS,Quezon,Dolores,SITIO BANGKONG KAHOY,042 565 6464/ 09291496458/ 09064381410,,"October 31, 2025"
