,Enterprise Type,Accreditation No,Enterprise Name,Province,Municipality,Business Address,Contact Numbers,Business Website,Accreditation Validity,,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00867-2022,Dely's Inn,Benguet,Baguio,"141 Abanao Road Extension, Baguio City",744452735,diamond_inn1975@yahoo.com,31-Oct-26,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-02382-2025,Destinys Transient and Boarding House,Benguet,Baguio,"276 Purok 2, Padre Zamora, Baguio City",9199560082,destiny4thbranch@gmail.com,31-Oct-26,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-01064-2023,De Amsterdammer Transient House,Benguet,Baguio,"Lot 7 Blk 7 Phase 1 Eagle Crest, Bakakeng North, Baguio City",9663606094,deamsterdammertransienthouse@gmail.com,31-Oct-26,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00463-2021,Diamond Inn,Benguet,Baguio,"16 E Jacinto Street, Baguio City",9209510829,diamond_inn1975@yahoo.com,31-Oct-26,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-02488-2025,DeiGratia Realty OPC,Benguet,Baguio,"Unit 7F-26A, Megatower Residences 7, Honeymoon Road, Baguio City",9171831926,deigratiacondo@gmail.com,31-Oct-26,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-02231-2024,Dipasupil Real Estate Leasing,Benguet,Baguio,"341 Lower Magsaysay, Baguio City",9399674816,jocelynrufino46@gmail.com,31-Oct-26,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-01883-2024,Diaz Home,Benguet,Baguio,"#67 Vergara Alley , Engineer's Hill, Baguio City",9225169983,mharlee1965@gmail.com,31-Oct-26,,,,
,,,,,,,9950913562,,,,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-02259-2025,Dixie-Dutch Homestay,Ifugao,Lagawe,"Abillang, Brgy. Tungngod, Lagawe, Ifugao",9693078705,mkulagawe@gmail.com,31-Oct-26,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00918-2022,Domanog's Homestay,Mountain Province,Sagada,"Dagdag, Sagada, Mountain Province",9106622735,taulimona@gmail.com,31-Oct-26,,,,
,,,,,,,9569172259,,,,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-01573-2024,DMC Dormitelle,Benguet,Baguio,"32 Manalo alley, Upper Engineers Hill, Baguio City",9175331193,campofilipino.dmc@gmail.com,31-Oct-25,,,,
,,,,,,,9275411684,,,,,,,,
,,,,,,,9158352232,,,,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-02383-2025,Easy-Breezy 2600 Homestay,Benguet,Baguio,"622-1, The Courtyards Condominium, Purok 1, Ambiong",9151871332,cristinaursua@ymail.com,31-Oct-26,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00180-2021,E & M Summer Guest House,Benguet,Baguio,"422 Cuneta Compound, Purok 4 East, Gibraltar",9178695808,eandmguesthouse@gmail.com,31-Oct-26,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-01592-2024,E.C.P Transient House,Benguet,Baguio City,"Block 6, Lot 9 Bougainvillea St. Bakakeng, Baguio City",9265387029,xanrannie@gmail.com,31-Oct-26,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-01574-2024,Ecarg Alum Transient House,Benguet,Baguio,172-B Teachers Camp,9173268090,gracemula_33@yahoo.com.ph,31-Oct-25,,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-02307-2025,Edrei Transient House,Benguet,Baguio,"52 Purok 20 St. Patrick Rd., Irisan, Baguio City",9189942006,ernestocarullo6@gmail.com,31-Oct-26,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-02322-2025,Edrei Transient House,Benguet,Baguio,"Purok 4, 141 Lot 1e, Lower East Pias, Camp 7",9778162006,ernestocarullo6@gmail.com,31-Oct-26,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-02034-2024,Elabiz Properties,Benguet,Baguio,"San Roque Village, Dominican Road, Baguio City",9610466727,elabizproperties@gmail.com,31-Oct-26,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00999-2022,El Sueño Residencia Real Estate Leasing,Benguet,Baguio,"180 purok 5, Lower Quirino Hill, Baguio City",9451000798,mbarnachea0445@gmail.com,31-Oct-26,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-02379-2025,Elcasa Gijara Homestay,Benguet,Baguio,"612 Garden Square Hometel GreenValley Subdivision, Baguio City",9171874000,jefferson.rillorta@gmail.com,31-Oct-26,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-01597-2024,El.Casa.Primo Transient House,Benguet,Baguio,"UNIT 107, 107, BLDG 4, QUISUMBING ST, TRANCOVILLE",9265387029,francisrandybangloy@gmail.com,31-Oct-26,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00346-2021,Eljjov Baguio Transient House,Benguet,Baguio,"27 i 2 Shangrila Street., San Luis Baguio City",9176547843,jovenbautista1234@gmail.com,31-Oct-26,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00182-2021,Enchong and Cheng Transient House,Benguet,Baguio,"4 Purok 1, Gibraltar, Baguio City",9298233525,syrussagurit1830@yahoo.com,31-Oct-26,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-02403-2025,Ergim Transient House,Benguet,Itogon,"Brgy. Virac, Itogon, Benguet",9552102507,ernestjohncacho0713@gmail.com,31-Oct-25,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-01058-2023,Ezbreezy Vacation House,Benguet,Baguio,"1044 Upper East, . Pelota, Camp 7, Baguio City",9205296263,marlynjzabala@yahoo.com,31-Oct-26,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-02101-2024,Eurl's Transient House,Benguet,Baguio,101Saint Anthony Street Lower Mirador Hill Extension,9260858526,euriocampo@gmail.com,31-Oct-26,,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-02434-2025,Espiritu Condo Unit Rental,Benguet,Baguio,"LG Unit G, Tower 2, Suntrust 88 Condominium, Gibraltar",9065800952,fernan22espiritu@gmail.com,31-Oct-26,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-02474-2025,Ethan & Gavin's Homestay,Benguet,Baguio,"Unit 211, Aspen Building, Moldex Residences, Brgy. Bakakeng Central, Baguio City",9209093116,galiciapoch@gmail.com,31-Oct-26,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-02318-2025,FAES Transient House,Benguet,Baguio,"No. 2 Himalaya Street, San Luis Village, Baguio City",9305412478,alosmarie2015@yahoo.com,31-Oct-26,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00162-2021,Fairways and Greens Bed & Breakfast,Benguet,Baguio,"#6 Outlook Drive, Baguio City",9985515719,fgbb@bcc.com.ph,31-Oct-26,,,,,
,,,,,,,665 6500,,,,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00364-2021,Flora Inn and Suites,Flora,Apayao,"Santan Corner Doña Luz Streets, Poblacion West, Flora, Apayao",9171529655,florainnandsuites@gmail.com,31-Oct-26,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-02416-2025,EM's Lodging House,Calanasan,Apayao,"Brgy. Poblacion, Calanasan, Apayao",9365601747,mariloubulsao22@gmail.com,31-Oct-25,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00126-2021,Finteo Skylands Real Estate Leasing,Benguet,Baguio,"99 Dr. Carino St. Lower QM, GEN.E.F. AGUINALDO, Baguio City",9661739159,finteoskylands@gmail.com,31-Oct-26,,,,
,,,,,,,9995143527,,,,,,,,
,,,,,,,9195134323,,,,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00544-2022,Fog&Clouds Transient House,Benguet,Baguio,"Purok 20 St. Patrick, subdivision, san carlos, NPC",9155486678,shirleyespiritu@yahoo.com,31-Oct-25,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-02338-2025,FQB Transient House,Benguet,Baguio,"13 F. BALTAZAR STREET, Baguio City",9664864384,fqbproperties@gmail.com,31-Oct-25,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00153-2021,Frangeli House,Benguet,Baguio,"#1 Saint George Drive, Baguio City",9207287625,hello@frangelihouse.com,31-Oct-26,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00870-2022,Freds Lodging House,Benguet,Baguio,"#8 Greenwater Village, Baguio City",0917 856 4400,info@freds.com.ph,31-Oct-26,,,,,
,,,,,,,(074) 422-0205,info.freds@gmail.com,,,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00603-2022,G. Baladad Apartment,Benguet,Baguio,"88-c 2nd Road, Palma Urbano Barangay, Baguio City",9175077485,baladadapartment_88@yahoo.com,31-Oct-26,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-01638-2024,Garden-Villa 211 Transient House,Benguet,Baguio,"211 Garden Villa 2, Green Valley Village",9151792772,gardenvilla211@gmail.com,31-Oct-25,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-02109-2024,Garuda's Transient House,Benguet,Baguio,"233-B, Benin Road, Brgy. Pinsao Proper, Baguio City",9209669705,garudastransienthouse@gmail.com,31-Oct-26,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-01288-2023,Gavin's Transient House,Benguet,Baguio,"12B, Queen of Peace Road, Baguio City",9663606128,mcryan690@gmail.com,31-Oct-26,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-01245-2023,Generosa Casa Rentals,Benguet,Baguio,"86 Upper General Luna road, Baguio City",9153215661,ajelamunsayac18@gmail.com,31-Oct-26,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00575-2022,George Guesthouse,Mountain Province,Sagada,"Dagdag, Sagada, Mountain Province",9205216183,taulirenius@gmail.com,31-Oct-26,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-02412-2025,Gett'Em Apartment,Benguet,Baguio,"264-A, Benin Road, Tam-Awan, Pinsao Proper",9691567005,frederickglennflores@gmail.com,31-Oct-26,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-02378-2025,Gie-Ann Cliff Condominium Unit Rental,Benguet,Baguio,"2F 11, MEGATOWER RESIDENCE III, SANDICO STREET,SALUD MITRA",9454223489,Myleycliff47@gmail.com,31-Oct-26,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00912-2022,GJ Kaleen's House Rental,Benguet,Baguio,"#1354 Purok 3, KM 4 Asin Road, Baguio City",9171670005,kaleenclaire@gmail.com,31-Oct-26,,,,
,,,,,,,9176284042,jhomayor_cute13@yahoo.com,,,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-01083-2023,Green House Inn,Mountain Province,Sagada,"Lower Patay, Brgy. Poblacion (Patay), Sagada, Mountain Province",9999037675,greenhouseinn_2619@yahoo.com,31-Oct-26,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-01890-2024,Glo's Ville Apartelle,Benguet,Baguio,"#74 Palma St., 2nd Road, Baguio City",9162231974,glosville.apartelle@gmail.com,31-Oct-26,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-01865-2024,Glympse Transient House,Benguet,Baguio,"Dulalia bldg., Assumption Rd., Brgy. Kabayanihan, Baguio City, Benguet",9682755120,annalizatorno08@gmail.com,31-Oct-26,,
,,,,,,,9266011047,,,,,,,,
,,,,,,,9656917083,,,,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-02381-2025,Golden Queen Suites,Benguet,Baguio,"Unit 205, Athena Tower III, Dominican Rd., San Roque Village, Baguio City",9989684338,unit205athenatower@gmail.com,31-Oct-26,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-01862-2024,Gracious-Chi Transient House,Benguet,Baguio,"No. 9, Purok 1 Upper, Brgy. Market Subdivision, Upper, Baguio City, Benguet",9052517696,jomaxeeblue@gmail.com,31-Oct-26,
,,,,,,,9694602718,,,,,,,,
,,,,,,,074-443-6678,,,,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-01224-2023,Grand Roberto's Inn,Abra,Bangued,"Actividad Economia St., Brgy. Zone 1 Pob. (Nalasin), Bangued Abra",,robertogrand316@gmail.com,31-Oct-26,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00500-2021,GreatPeace Transient House,Benguet,Baguio,"24 Felipe Jose street, Brgy Mangga, Lower Rock Quarry, Baguio City",9175081856,greatpeace.transienthouse@gmail.com,31-Oct-26,,,
,,,,,,,9230814832,,,,,,,,
,,,,,,,'09178532113,,,,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-02093-2024,Green-House Transient House,Benguet,Baguio,"14 lower brookside, Baguio City",9150155255,deloreskay@msn.com,31-Oct-26,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00154-2021,Guest Haven Chalet,Benguet,Baguio,"47A Interior A, Balacbac, Brgy. Santo Tomas Proper, Baguio City, Benguet",(074) 422-9935,guesthavenbaguio@gmail.com,31-Oct-27,,
,,,,,,,9175097000,,,,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-01581-2024,Guest House King's Suite,Benguet,Baguio,"L1 Blk 14 Lodge Pole Pine Road, Richview Square Subdivision",639688539425,mcatedral@yahoo.com,31-Oct-26,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-01860-2024,Jabez Retreat House,Ifugao,Aguinaldo,"Brgy. Jacmal, Aguinaldo, Ifugao",9351962278,samsonappoy@gmail.com,31-Oct-25,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-01030-2023,Saranay Multi-Purpose Cooperative,Ifugao,Alfonso Lista,"Brgy. Santa Maria, Alfonso Lista, Ifugao",9082348533,saranayalcoop@yahoo.com,31-Oct-26,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-02194-2024,H100 Eco Lodge,Benguet,Baguio,"358 Lower Magsaysay Ave., Ressurection Compound., St. elizabeth Bldg., Brgy. Magsaysay Private Road, Baguio City",9301509846,healthrestoacctg100@yahoo.com,31-Oct-26,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-02375-2025,Habiatan Homestay & Restaurant,Ifugao,Kiangan,"Poblacion, Banaue, Ifugao",9279604625,jacquelinehabiatan@gmail.com,31-Oct-26,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-02162-2024,Half way lodge and Restaurant,Ifugao,Banaue,"Poblacion, Banaue, Ifugao",9171575517,chumipatricia@gmail.com,31-Oct-26,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00979-2022,Haroli RD Transient House,Benguet,Baguio,"46 San Roque Village, Baguio City",9369310612,ramireznelson28@yahoo.com,31-Oct-26,,,,,
,,,,,,,9193008608,,,,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-01632-2024,Haven Homestay,Benguet,Baguio,"Lot 2, Block 14, Phase 3, Eagle Crest Subdivision. Bakakeng Norte/Sur",09063006009 /,havenhomestay1@gmail.com,31-Oct-26,,,
,,,,,,,9285555998,,,,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-01724-2024,Heartsville Transient House,Benguet,Itogon,"Minac, Brgy. Tuding, Itogon, Benguet",9296986506,jhezielcastro@gmail.com,31-Oct-26,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-02425-2025,Heritage.Farm Homestay,Benguet,Tuba,"Proper Nangalisan, Tuba, Benguet",9157798052,heritage.farmhomestay@gmail.com,31-Oct-26,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00469-2021,Highland Blossoms,Benguet,La Trinidad,#1 Highland Blossoms Lam Tang Puguis La Trinidad Benguet,9175000012,platinumhex1@gmail.com,31-Oct-26,,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-02113-2024,Highland Escape Condotel,Benguet,Baguio,"Megatower Residences IV 5F-26, Brgy. Salud Mitra, Baguio City",9178851221,highlandescape.526@gmail.com,31-Oct-26,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-01839-2024,Highlands Beau Pension House,Benguet,Baguio,"0739 Purok 3 Dontogan Oracion Street, Baguio City",9774325275,gramajefatima@gmail.com,31-Oct-26,,,,,
,,,,,,,9155522558,,,,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00051-200,HighPoint Boutique Inn & Restaurant,Benguet,Baguio,"#1 Amistad Road, Camp 7, Kennon Road, Baguio City",(074) 442-7080,info@highpoint.com.ph,31-Oct-26,,,
,,,,,,,9088918765,,,,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00121-2021,Hill Top View Transient House,Benguet,Baguio,"Unit A & B Sunflower St., Lexberville Subdivision, Balacbac, Baguio City",9178362742,mgm1975@yahoo.com,31-Oct-26,,,
,,,,,,,9817611557,,,,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00994-2022,Hiwang Native House Inn,Ifugao,Banaue,"Viewpoint, Banaue, Ifugao",9216428704,campolartbrady@yahoo.com,31-Oct-26,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00541-2022,Hnbricks Retreat House,Benguet,Baguio,"158 Parisas St., Camp 7, Baguio City",9199267560,naomihnbricks1010@gmail.com,31-Oct-26,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00875-2022,Holiday Park Hotel,Benguet,Baguio,"#129 Abanao Ext., Baguio City",0922 821 4390,holidaypark.Hotel@yahoo.com,31-Oct-26,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00052-2020,Hollywood Drive - In Hotel,Benguet,Baguio City,Km3 Marcos Highway Baguio City,074-442-0588/09274709252,hollywood_hotel_phil@yahoo.com,31-Oct-26,,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-02062-2024,Hotel 45,Benguet,Baguio,"Bagong Bayan, Salud Mitra, Baguio City",0977 850 2097,luzvimindamaramag2016@gmail.com,31-Oct-26,,,,
,,,,,,,(074) 442 3460,,,,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00917-2023,Hotel 45 Session,Benguet,Baguio,"58-60 Session Gov. Pack rd., Baguio City",9778502097,luzvimindamaramag2016@gmail.com,31-Oct-26,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00865-2022,Hotel Cosmopolitan,Benguet,Baguio,"#1 Bokawkan Rd., Corner Naguilian Rd., Baguio City",(074) 4427006,Hotelcosmopolitan88@yahoo.com.ph,31-Oct-26,,,,
,,,,,,,(074) 4427008,,,,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-02201-2024,Hotel Dela Marcel,Benguet,Baguio,"48 Gulf View Subd., Suello Village, Brgy. Bakakeng Central Baguio City",9209084232,Denpilones@gmail.com,31-Oct-26,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00062-2020,Hotel Lafe,Benguet,Baguio,"Happy Homes, 532 Magsaysay Avenue, Baguio City",9998892995,hotel_lafe@yahoo.com,31-Oct-26,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-01293-2024,Hotel Ramiro,Benguet,Baguio,"#06 Maryhurst Road, Purok 1 Outlook Drive, Baguio City",(074) 422-8309,Hotelramiro@yahoo.com,31-Oct-26,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00185-2021,House of Ross,Benguet,Baguio,"60B Lower Brookside, Baguio City",9197232238,chaiyannie547@gmail.com,31-Oct-26,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-02321-2025,Ilob Village Inn,Ifugao,Banaue,"Ilob, Bocos, Banaue, Ifugao",9163930274,villageinnilob@gmail.com,31-Oct-26,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-02016-2024,Ina Picaws D' Carpenters House,Mountain Province,Sagada,"Patay, Sagada, Mountain Province",9982326143,inapicawdch@gmail.com,31-Oct-26,,,,
,,,,,,,9487792864,,,,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00143-2021,Ina's Sagada Inland Resort,Mountain Province,Sagada,"Poblacion (Patay), Sagada, Mt. Province",9187432221,inassagadaHomestay@gmail.com,31-Oct-26,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00681-2022,Inn Maugay,Mountain Province,Sagada,"Dagdag, Sagada, Mountain Province",9215215108,innmaugay.14@gmail.com,31-Oct-25,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-02301-2025,Isabelo's Inn and Cafe,Mountain Province,Sagada,"Culos Building, Favuyan, Maligcong, Bontoc Mountain Province",9279914264,mavyc24@yahoo.com,31-Oct-26,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-01056-2023,IKC Realty,Benguet,Baguio,"LOT 3 BLOCK 14 EAGLE CREST PHASE 3, BAKAKENG NORTE SUR",9065469314,Ikcrealty314@gmail.com,31-Oct-26,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-01963-2024,Iggy's Inn,Benguet,Baguio,"25-A Brgy. South Drive, Baguio City",9084743303,bagiw37@gmail.com,31-Oct-26,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00113-2020,Inn Rocio,Benguet,Baguio,"#68 Kisad Road, Baguio City",9473507915,innrociooffice@gmail.com,31-Oct-26,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00502-2021,Ivee Kempers Pink House Property Leasing,Benguet,Baguio,"85 Old Pipe Factory rd, Lower Rock Quarry, Baguio City",9209402663,iveekemper2021@gmail.com,31-Oct-26,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-02414-2025,J&A Condo Unit Rental,Benguet,Baguio,"Brenthill Condominium Yanco Road, Brgy. Upper General Luna, Baguio City",9552102507,erniecacho013@gmail.com,31-Oct-25,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-02310-2025,Jade Homestay,Benguet,Baguio,"44 Badihoy Guisad Sorong, Baguio CIty",9691638008,jade.rel.homestay@gmail.com,31-Oct-25,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-02445-2025,Jame's Guest House,Benguet,Baguio,"Nepal Street, Block 3, Lot 30, Shangrila Village, Brgy. San Luis, Baguio City",9175120233,nelsonguesthouse@gmail.com,31-Oct-26,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-02283-2025,J Baban Real Estate Leasing,Benguet,Baguio,"32, PUROK,4, BAKAKENG NORTE SUR",9099253549,babanjennifer0@gmail.com,31-Oct-26,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-02356-2025,JB Real Estate Property Leasing,Benguet,Baguio,"11 Escoda St. First Road, Quezon Hill Proper, Baguio City",9291110568,jbrealstatepropertyleasing@gmail.com,31-Oct-26,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00312-2021,Jamyks Homestay,Benguet,Baguio,"Lot 33 Blk. 9 Eagle Crest Villas Phase 3 Gate 2, Bakakeng North , Baguio City",9219371960,creyojar101112@gmail.com,31-Oct-26,,,,
,,,,,,,9666808792,,,,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-02269-2025,Jarrenjic Apartelle,Benguet,Baguio,"Upper West side street, 193-a, Foothill Subdivition, Crystal Cave, Bakakeng Central Baguio City",9230848633,diegodiane018@gmail.com,31-Oct-26,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00483-2021,Jasjem Real Estate Lessor,Benguet,Baguio,"Purok 4, Quezon Hill, Road 2, Brgy. Victoria Village, Baguio City",9227942799,villanuevathelma@yahoo.com,31-Oct-26,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-01861-2024,Jaye's Transient House,Benguet,Baguio,"88 City Camp Proper, Baguio City",9178156302,angieilagan@gmail.com,31-Oct-25,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00840-2022,JCJ Transients,Benguet,Baguio,"#28 Purok 5, Amparo Hieghts, Camp 7, Baguio City",(074) 442-0162,cathygeli@yahoo.com,31-Oct-26,,,
,,,,,,,9155680882,,,,,,,,
,,,,,,,9457792578,,,,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-02323-2025,Jenonel Overview Apartelle,Benguet,Baguio,"#32 Bukaneg Street, Legarda Road, Baguio City",9482700879,Jenonel2025@gmail.com,31-Oct-26,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-02349-2025,Jems Transient House,Benguet,Baguio,49 Purok 5 Scout Barrio Baguio City,9994710377,chanlyndon3@gmail.com,31-Oct-26,,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-01705-2024,Jermailyne Transient House,Benguet,Baguio,"214B, Purok Amsing, Siapno Road, Brgy. Pacdal, Baguio City",9433635647,blackmls08@gmail.com,31-Oct-25,,
,,,,,,,9178243400,,,,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00818-2022,Jhun & Ritz Transient House,Benguet,Baguio,"#148 Tiptop, Pacdal, Baguio City",9515408128,pametlanrita@gmail.com,31-Oct-26,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-02280-2025,Jireh Homestay,Benguet,Baguio,"362-A PUROK I, TAMAWAN, PINSAO PROPER",9215737990,rufinobalantin78@gmail.com,31-Oct-26,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00833-2022,JM Dormitel,Benguet,Baguio,"#77, New Lucban, Baguio City",9178288216,jmdormitel@gmail.com,31-Oct-26,,,,
,,,,,,,(074) 620 2355,,,,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00221-2021,JLA Apartelles,Apayao,Luna,"San Isidro Sur, Luna, Apayao",9566488138,jla.corp.ph@gmail.com,31-Oct-26,,,,
,,,,,,,9778308437,,,,,,,,
,,,,,,,9361913802,,,,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00406-2021,JMM Apartelle,Benguet,Baguio,"#200 Atok Trail, Baguio City",9396514088,jmmapartelle@gmail.com,31-Oct-26,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00761-2022,Joysean Transient House,Mountain Province,Sagada,"Dagdag, Sagada, Mountain Province",9201144949,Labawig092011@gmail.com,31-Oct-25,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00392-2021,Jrosel Suites Baguio Transient,Benguet,Baguio,"54-B Dr. J. Carino st, upper qm, Baguio city",9175135203,billodjoel@gmail.com,31-Oct-25,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-02394-2025,JT Condo Unit Rental,Benguet,Baguio,"UNIT PH-04, CAREZZA BUILDING, MOLDEX RESIDENCES, MARCOS HIGHWAY, BAKAKENG CENTRAL, BAGUIO CITY",9569239727,iversonflare12@gmail.com,31-Oct-25,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-02287-2025,Kadpay Lodge,Mountain Province,Sagada,"Dagdag, Sagada, Mountain Province",9634296292,lodgekadpay@gmail.com,31-Oct-26,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00045-2020,Kamiseta Hotel,Benguet,Baguio,"#20 Lualhati, Baguio City",9457532601,kamisetabaguio.frontoffice@gmail.com,31-Oct-26,,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-00191-2021,Kanip-aw Pines View Lodge,Mountain Province,Sagada,"Demang, Sagada, Mountain Province",9266092960,oscar_agwik@yahoo.com.ph,31-Oct-26,,,,
CAR,Mabuhay Accommodation,DOT-CAR-MAB-02333-2025,Kapinitan Transient House-Sagada,Mountain Province,Sagada,"Kapinitan, Poblacion, Sagada, Mountain Province",09475677910/09384225336,domya_an@yahoo.com.ph,31-Oct-25,,,
