Region,Enterprise Type,Accreditation No,Enterprise Name,Province,Municipality/City,Business Address,Contact Numbers,Business Website,Accreditation Validity
Region 11,Travel Agency,DOT-R11-TRA-00245-2021,GMC Travelmakers (GMC TM TRAVEL AGENCY),-,Davao City,"Dr 5 Ana Dorina Bldg Belen Road Lanang, Brgy Vicente Hizon Sr., Davao City",082 3227673,gmctm1@yahoo.com,"June 30, 2026"
Region 11,Travel Agency,DOT-R11-TRA-00719-2023,Greta Lakwatsera Travel & Tours,Davao del Norte,Tagum City,"Jose Abad Santos St., Purok Sunflower, Brgy Magugpo Poblacion, Tagum City, Davao del Note",0917 8192361,gretchen_ticketingoffice@yahoo.com,"June 30, 2026"
Region 11,Travel Agency,DOT-R11-TRA-00126-2021,Good Fortune Travel Centre,-,Davao City,"Door 6 Lee Business Corner Juan Luna St., Davao City",0917 7056002,Goodfortunetravel@hotmail.com,"June 30, 2026"
Region 11,Travel Agency,DOT-R11-TRA-00586-2023,Skyteam Services Inc,-,Davao City,"3F SM City Davao, Quimp Blvd., Brgy Bucana, Davao City",(082) 282 2820,skyteam_dvo@yahoo.com.ph,"June 30, 2026"
Region 11,Travel Agency,DOT-R11-TRA-00705-2023,Chancepass Ticketing Express,-,Davao City,"Door D Galaxy Arcade, Ilustre St., Davao City",0948 5951777,chancepassticketing@gmail.com,"June 30, 2026"
Region 11,Travel Agency,DOT-R11-TRA-00636-2023,TC Explore Travel and Tours,-,Davao City,"Unit 1 Elena Arcade, Duterte St., Brgy 3-A, Davao City",0923 7339613,tcexploretraveltours@gmail.com,"June 30, 2026"
Region 11,Travel Agency,DOT-R11-TRA-00703-2023,Pasyalera Tours & Travel,Davao del Norte,Tagum City,"2F Gaisano Grand Mall, Brgy Visayan Village, Tagum City, Davao del Norte",0917 6264175,pasyaleratravel@yahoo.com.ph,"June 30, 2026"
Region 11,Travel Agency,DOT-R11-TRA-01013-2024,WeGo Travel and Tours,Davao del Norte,Tagum City,"Purok 1-C, Brgy Apokon, Tagum City, Davao del Norte",09457886830/ 09663068668,info.wegoph@gmail.com,"June 30, 2026"
Region 11,Travel Agency,DOT-R11-TRA-01210-2024,Sweetcase Tour Services,-,Davao City,"Door 6 JTL Plaza, Doña Vicenta Village, JP Laurel Ave., Brgy 19-B, Davao City",0995 6103373,sweetcasetours@gmail.com,"June 30, 2026"
Region 11,Travel Agency,DOT-R11-TRA-01215-2024,John Gold Travel And Tour Services Corp. (Biyahelocity.Com),-,Davao City,"G/F Passenger Terminal Bldg., Davao International Airport, Sasa, Davao City",0917 7050189,anistin8228@gmail.com,"June 30, 2026"
Region 11,Travel Agency,DOT-R11-TRA-01222-2024,Aries Travel and Tours Corporation,-,Davao City,"Door 2, 100 R. Magsaysay Ave., Davao City",0917 5676261,ariestravelandtours01@gmail.com,"June 30, 2026"
Region 11,Travel Agency,DOT-R11-TRA-01033-2024,Skyteam Services Inc,-,Davao City,"4l-45 Gaisano Mall Of Davao, JP Laurel Avenue, Bajada, Davao City",(082) 282 2820,skyteamdvomain@ymail.com,"June 30, 2026"
Region 11,Travel Agency,DOT-R11-TRA-01232-2024,"Mt Apo Travel and Tours, inc.",-,Davao City,"88 Guerrero corner Monteverde Sts., Brgy 30-C, Davao City",0998 9685475,mtapotravel@yahoo.com,"June 30, 2026"
Region 11,Travel Agency,DOT-R11-TRA-00040-2020,CMTan Travel & Tours Corp.,-,Davao City,"Km 7 Lanang, Davao City",0917 7061230,cmtantraveldvo@gmail.com,6/30/2026
Region 11,Travel Agency,DOT-R11-TRA-00688-2023,Rose Travel and Tours,-,Davao City,"Bangoy St., Brgy San Francisco (Pob.), Panabo City, Davao del Norte",0917 1466269,rosetravel95@yahoo.com,6/30/2026
Region 11,Travel Agency,DOT-R11-TRA-00342-2022,Aquagem Travel and Tours,-,Davao City,"249 Iñigo Cervantes St., Bo. Obrero, Brgy 18-B, Davao City",(082) 222 9567,aquagem_tours@yahoo.com,6/30/2026
Region 11,Travel Agency,DOT-R11-TRA-00424-2022,K&L Travel and Ticketing Services,-,Davao City,"Farmar Bldg., Unit 301 3rd Floor, Lapu-Lapu Street, Agdao, Davao City",(082) 317 0115,knl_travel@yahoo.com,6/30/2026
Region 11,Travel Agency,DOT-R11-TTA-00701-2023,Foi Travel and Tours Services,Davao del Norte,Tagum City,"Mirafuentes St., Brgy. Magugpo North, Tagum City, Davao del Norte",0975 7798681,travelswithfoi@gmail.com,6/30/2026
Region 11,Travel Agency,DOT-R11-TRA-00576-2023,AME Travel and Tours Corporation,-,Davao City,"Door 10 Paseo de Roxas Commercial Arcade, Roxas Ave., Brgy 34-D, Davao City",082 2213285,ametravelandtourscorp@gmail.com,6/30/2026
Region 11,Travel Agency,DOT-R11-TRA-01381-2024,Kerc Travel and Tours,-,Davao City,"Door No. 1 Egger Bldg., Brgy. Matina Crossing Davao City",0933 3843868,kerctrips@yahoo.com.ph,6/30/2026
Region 11,Travel Agency,DOT-R11-TRA-00663-2023,Ticket1 Travel,-,Davao City,"Robinsons Townville Abreeza, JP Laurel Ave., Davao City",0917 1405790,abreezaticket1@yahoo.com,6/30/2026
Region 11,Travel Agency,DOT-R11-TRA-01407-2025,Ticket1 Travel,-,Davao City,"Shop/S-6 Sm Supermarket Premier J.P Laurel Ave. Lanang, Davao City",0917 1207109,ticket1smlanang@yahoo.com,6/30/2026
Region 11,Travel Agency,DOT-R11-TRA-00087-2021,Travelbest Guide Ticketing Office,-,Davao City,"Door 5 B And L Building Corner Mabini and Torres Streets, Brgy 9-A, Davao City",(082) 227-8690,travelbestdvo@gmail.com,6/30/2026
Region 11,Travel Agency,DOT-R11-TRA-01417-2025,Ticket1 Travel,-,Davao City,"Nccc Mall VP J.P Laurel Avenue, Bo. Obrero, Davao City",0917 1099209,ticket1ncccvp@gmail.com,6/30/2026
Region 11,Travel Agency,DOT-R11-TRA-01439-2025,A-Star Travel and Tours,-,Davao City,"Door 23, EC Business Center, C.M Recto Street, Davao City",0931 8310000,astartravelandtour@gmail.com,6/30/2026
Region 11,Travel Agency,DOT-R11-TRA-00273-2021,Transcontinent Chartered Travel and Tours,-,Davao City,"22 Vanda Street, Metroville Subdivision, Brgy. Maa, Davao City",0919 3741863,transcon.traveltour@gmail.com,6/30/2026
Region 11,Travel Agency,DOT-R11-TRA-01527-2025,Eastone Travel and Tours,-,Davao City,"FS Dizon Road, Bacaca Phase 3 Elrio Vista Village, Davao City",0998 9703372,mansourdumama@gmail.com,6/30/2026
Region 11,Travel Agency,DOT-R11-TRA-01541-2025,Maca Express Travel Services,-,Davao City,"REAC Bldg., Km. 7, Mc Arthur Highway, Brgy. Matina Crossing, Davao City",0917 3114007,macaexpresstravelservices@gmail.com,6/30/2026
Region 11,Travel Agency,DOT-R11-TRA-01553-2025,FastPass Travel and Tours,-,Davao City,"Door A TMNT Bldg. Tionko Arcade J.P. Laurel Bajada, Brgy. 19-B, Davao City",(082) 315-4289,celileonora444@gmail.com,6/30/2026
Region 11,Travel Agency,DOT-R11-TRA-01073-2024,Panic Trip Travel Services,-,Davao City,"B21 L2 Aspen Heights, Brgy Communal, Davao City",0938 4319311,panictriptickets@gmail.com,6/30/2026
Region 11,Travel Agency,DOT-R11-TRA-01566-2025,RNC Travel and Tours Services,Davao del Norte,Panabo City,"Purok 12, Brgy. San Vicente, Panabo City, Davao del Norte",08482337/ 0960 9304482,rnc.inquiries2019@gmail.com,6/30/2026
Region 11,Travel Agency,DOT-R11-TRA-01567-2025,Asters Travel and Tours Services,-,Davao City,"Door 5, Dr. A Gahol Ave., Brgy. 19-B, Davao City",0943 5902156,asterstraveltours2016@gmail.com,6/30/2026
Region 11,Travel Agency,DOT-R11-TRA-01215-2024,John Gold Travel and Tour Services Corp. (biyahelocity.com),-,Davao City,"G/F Passenger Terminal Bldg., Davao International Airport, Brgy. Sasa, Davao City",0917 7054586,johngoldtravel08@gmail.com,6/30/2026
Region 11,Travel Agency,DOT-R11-TRA-01421-2025,Biyahe.Com.Ph Travel Portal Corporation,-,Davao City,"3/F DSTI Bldg Km 5 Watusi St., Brgy. Buhangin (Pob.), Davao City","0917 7050364, 082 300-8088",biyahe.com24@gmail.com,6/30/2026
Region 11,Travel Agency,DOT-R11-TRA-01358-2024,John Gold Travel and Tour Services Corp.,-,Davao City,"053 SM Lanang Premier, JP Laurel Ave., Lanang, Brgy. San Jose, Davao City",0917 7054586,johngoldtravel08@gmail.com,6/30/2026
Region 11,Travel Agency,DOT-R11-TRA-01587-2025,Misuari Travel and Tours,-,Davao City,"B3 L10 Ecoland Drive, Bucana, Brgy. Talomo (Pob.), Davao City",0995 9656908,misuaritravelandtours28@gmail.com,6/30/2026
Region 11,Travel Agency,DOT-R11-TRA-01595-2025,Charming Wanders Travel and Tours,-,Davao City,"Door 1, 2nd Fl, VCS Building, Bolton Extn., Brgy. 1-A, Davao City",0945 1874488,charmingwanderstravelandtours@gmail.com,6/30/2026
Region 11,Travel and Tour Agency,DOT-R11-TTA-01061-2024,"Pan Asiaworld Holidays, Inc.",-,Davao City,"G/F Larous Inn Bldg., #467 Gen. Luna St., Davao City",(082) 221-2712,panasiaworld0808@gmail.com,"June 30, 2026"
Region 11,Travel and Tour Agency,DOT-R11-TTA-00291-2021,Karst Geo Travel and Tours,-,Davao City,"Door 8 Paseo de Legaspi, 115 Pelayo St., Brgy 3-A, Davao City",0917 1588309,karstgeotravel@gmail.com,"June 30, 2026"
Region 11,Travel and Tour Agency,DOT-R11-TTA-01125-2024,BilisBayad Travel & Tours,Davao del Norte,Santo Tomas,"Purok 3, FDR#2, Brgy Tibal-og, Sto Tomas, Davao del Norte",0917 6280851,bbtravel@superbilisbayad.com,"June 30, 2026"
Region 11,Travel and Tour Agency,DOT-R11-TTA-00389-2022,MZO Travel and Tours,-,Davao City,"Door 4 Infinity Bldg., Lapu-Lapu corner Porras St., Brgy 15-B, Davao City",0917 7003002,mzotravelandtours@yahoo.com,"June 30, 2026"
Region 11,Travel and Tour Agency,DOT-R11-TTA-00465-2022,Sky Trail Travel and Tours,-,Davao City,"2/F Door 3 LAM Bldg., F. Torres St., Davao City",0917 5254613,queenamora20@gmail.com,"June 30, 2026"
Region 11,Travel and Tour Agency,DOT-R11-TTA-00390-2021,Plane-to-Go Travel Services,-,Davao City,"2/F Door 8 Doña Segunda Complex, Ponciao Reyes St., Davao City",(082) 224 6320 / 09177056418,planetogotravelservices@yahoo.com,"June 30, 2026"
Region 11,Travel and Tour Agency,DOT-R11-TTA-00293-2021,"JPVA Hello World Tour, Inc.",-,Davao City,"Dr. 3, G/F, Malayan House Bldg., Km. 6 JP Laurel Ave., Brgy Angliongto Sr., Davao City,",0933 8112796,jpvahelloworld@yahoo.com,"June 30, 2026"
Region 11,Travel and Tour Agency,DOT-R11-TTA-01143-2024,Airtrips Travel and Tours,-,Davao City,"Dr 105 Togonon Bldg., E. Quirino Ave., Davao City",082 3082761,airtripstravel@gmail.com,"June 30, 2026"
Region 11,Travel and Tour Agency,DOT-R11-TTA-01148-2024,"Lailai Travel And Tours Of Davao, Inc.",-,Davao City,"RC Building, Sandawa Road, Sir New Matina, Davao City",0915 92945004,lailai_dvo@yahoo.com.ph,"June 30, 2026"
Region 11,Travel and Tour Agency,DOT-R11-TTA-00626-2023,Trip Expert Travel and Tours,Davao del Norte,IGACOS,"Purok 5 Brgy Adecor, Island Garden City of Samal, Davao del Norte",0916 3978788,tripexpertphilippines@gmail.com,"June 30, 2026"
Region 11,Travel and Tour Agency,DOT-R11-TTA-00316-2022,Aw Rah Tours and Travel Inc,-,Davao City,"254-1 R. Magsaysay Ave., Davao City",0916 4972937,aw_rahtours@yahoo.com,"June 30, 2026"
Region 11,Travel and Tour Agency,DOT-R11-TTA-00620-2023,MBCC Travel and Tours Services,-,Davao City,"Door 2 DVDC Bldg., Brgy Catalunan Grande, Davao City",09171456188 / 082 308 0551,mbcctravelandtoursservices@gmail.com,"June 30, 2026"
Region 11,Travel and Tour Agency,DOT-R11-TTA-00577-2023,Viewtiful Travel and Tours,-,Davao City,"COPE Bldg., C.M. Recto Street, Davao City",0945 8115782,cniamarie93@gmail.com,"June 30, 2026"
Region 11,Travel and Tour Agency,DOT-R11-TTA-01174-2024,Destinejoy Travel and Tours,-,Davao City,"2/F NCCC Mall VP. JP Laurel Ave., Bajada, Davao City",0906 0284080,destinejoytraveldavao@gmail.com,"June 30, 2026"
Region 11,Travel and Tour Agency,DOT-R11-TTA-00410-2022,Chrisma Travel and Tours,-,Davao City,"KM 8 Purok 8 Ferc Fuels Bldg., Brgy Catalunan Pequeño, Davao City",0917 1376041,chrismatravel01@gmail.com,"June 30, 2026"
Region 11,Travel and Tour Agency,DOT-R11-TTA-00232-2021,Yana Byahe Na Travel and Tours,-,Davao City,"Space 41-5 Generoso Corner Cervantes St., Brgy 18-B, Davao City",0917 3111569,yanabiyahena@gmail.com,"June 30, 2026"
Region 11,Travel and Tour Agency,DOT-R11-TTA-01178-2024,LHB Travel and Tours,-,Davao City,"Doot 4 La Anclar Bldg., Malvar St., Brgy 7-A, Davao City",0916 4770035,lhbtravelandtours@yahoo.com,"June 30, 2026"
Region 11,Travel and Tour Agency,DOT-R11-TTA-01032-2024,A Joyfull Travel Opc,-,Davao City,"Door 1 SRSO Basic Commodities Bldg., 99 T. Monteverde Ave., Brgy 27-C, Davao City",0998 9956535,ajoyfulltravelopc@gmail.com,"June 30, 2026"
Region 11,Travel and Tour Agency,DOT-R11-TTA-01181-2024,"Romano Travel and Tours, Inc.",-,Davao City,"G/F Gaisano Grand Citimall, Ilustre St., Davao City",0917 5496158,romanotravelandtoursinc@gmail.com,"June 30, 2026"
Region 11,Travel and Tour Agency,DOT-R11-TTA-01182-2024,RH Destinations Travel and Tours,-,Davao City,"Door 2, 2nd Fl, JPCG Bldg Tiresmart, Quimpo Blvd, Ecoland, Brgy Bucana, Davao City",0917 5031058,rhdestinationstravelandtours@gmail.com,"June 30, 2026"
Region 11,Travel and Tour Agency,DOT-R11-TTA-00235-2021,Real Breeze Travel and Tours,-,Davao City,"Door 1 Traveler's Inn, Km. 5 Brgy. Matina Crossing, Talomo District, Davao City",0917 1438050,travel.realbreeze@gmail.com,"June 30, 2026"
Region 11,Travel and Tour Agency,DOT-R11-TTA-00646-2023,Etours Davao Inc.,-,Davao City,"#174-5th B Street Phase 1, Ecoland, Brgy Bucana, Davao City",0917 1173706,etours.ph@gmail.com,"June 30, 2026"
Region 11,Travel and Tour Agency,DOT-R11-TTA-00116-2021,Angel Garnet Travel and Tours,-,Davao City,"Door 1, 2nd Floor Mckenzie Bldg. Quimpo Blvd. Ecoland, Davao City",(082) 308 5248,travel.angelgarnet@gmail.com,"June 30, 2026"
Region 11,Travel and Tour Agency,DOT-R11-TTA-00097-2021,Carpenter Travel Unlimited,-,Davao City,"G/F, Bella Vie Bldg., Circumferential Road, Marfori, Davao City",0917 6288099,carpentertravel@gmail.com,"June 30, 2026"
Region 11,Travel and Tour Agency,DOT-R11-TTA-00682-2023,168 Pacific Tours Incorporated,-,Davao City,"Door 1, JV's Peak Building Roxas Ave., Brgy 32-D, Davao City",0917 1267365,168pacifictoursinc@gmail.com,"June 30, 2026"
Region 11,Travel and Tour Agency,DOT-R11-TTA-01046-2024,Quality Travel Hub and Tours,-,Davao City,"Km 6 Diversion Road, Buhangin, Davao City",0919 3120843,ofie31169@yahoo.com,"June 30, 2026"
Region 11,Travel and Tour Agency,DOT-R11-TTA-01044-2024,Davao Travel and Tours,-,Davao City,"Unit 18 & 19 G/F, MSC BLDG., Purok 2, C.M Recto Ave., Davao City",0926 2144315,davaotravelandtours001@gmail.com,"June 30, 2026"
Region 11,Travel and Tour Agency,DOT-R11-TTA-00651-2023,LNJT Travel & Tours,-,Davao City,"No. 20 Almaciga St, Dacudao Ave., Brgy Gov. Paciano Bangoy, Davao City",0922 8641021,josepholivares@gmail.com,"June 30, 2026"
Region 11,Travel and Tour Agency,DOT-R11-TTA-00233-2021,Century Express Philippines Inc,-,Davao City,"Unit 2B 2F Conpinco Bldg, JP Laurel Avenue,",(082) 2212672,centuryexpresstraveldvo@yahoo.com,"June 30, 2026"
Region 11,Travel and Tour Agency,DOT-R11-TRA-00035-2020,Cybercrib Trips and Tours Travel Services,-,Davao City,Blk 47 Lot 2 Phase 2 Nebraska St. Deca Homes Residence Resort Tugbok Davao City,0999 8886978,cybercribtours@gmail.com,"June 30, 2026"
Region 11,Travel and Tour Agency,DOT-R11-TTA-00148-2021,CFBA Travel Station,-,Davao City,"Door 17 Mars Bldg. Saavedra St. Toril, Davao City",(082) 287 2128,cfbatravel@gmail.com,"June 30, 2026"
Region 11,Travel and Tour Agency,DOT-R11-TTA-01225-2024,Global Key Reps Destination Marketing,-,Davao City,3F Rm 318 Pink Walters Bldg. Quimpo Blvd. cor. Sandawa Ecoland Davao City,0998 9533076,team@globalkeyreps.com,"June 30, 2026"
Region 11,Travel and Tour Agency,DOT-R11-TTA-00734-2023,Footsteps Travel and Tours,-,Davao City,"Door 16, Coronet Bldg. 2, Quimpo Blvd Davao City",0985 3581524,footstepstraveltour@gmail.com,"June 30, 2026"
Region 11,Travel and Tour Agency,DOT-R11-TTA-00073-2021,Bloomers Asia Jewellers Travel and Tours,-,Davao City,"Unit A, Magradeco Building cor. Magallanes-Legaspi Sts., Brgy 2-A (Pob.), Davao City",0933 8501721,bloomers_travel_tours@yahoo.com,"June 30, 2026"
Region 11,Travel and Tour Agency,DOT-R11-TTA-00049-2021,Par Travel and Tours,-,Davao City,"2F Annipie Cafe Bakery Bldg., Gen. Malvar St., Brgy 14-B (Pob.), Davao City",0920 9607332,partravel.pia@gmail.com,"June 30, 2026"
Region 11,Travel and Tour Agency,DOT-R11-TTA-01247-2024,WWW INFINITY TRAVEL CO. LTD,-,Davao City,"G/F LAM Bldg., F. Torrres St., Davao City",0998 9900172,infinitytraveldvo@gmail.com,6/30/2026
Region 11,Travel and Tour Agency,DOT-R11-TTA-00345-2022,Travel Advantage Tours Davao,-,Davao City,"Unit 3 Ground Floor HLC Building Ruby Street Marfori Heights, Brgy 8-A, Davao City",0927 5053823,travel_advantage@yahoo.com,6/30/2026
Region 11,Travel and Tour Agency,DOT-R11-TTA-01265-2024,ACS Travel and Tours,-,Davao City,"BHN-GPS 88 G/F GAISANO GRAND CITIGATE MALL BUHANGIN COR TIGATO RD., BRGY BUHANGIN, Davao City",0922 8912011,acstravel@yahoo.com.ph,6/30/2026
Region 11,Travel and Tour Agency,DOT-R11-TTA-01295-2024,Sarah Lea Travel and Tours Inc.,-,Davao City,"Level 3 - 327 Robinsons Place Tagum., National Highway, Brgy Visayan Village, Tagum City, Davao del Norte",0995 2264210,sltt.tagumbranch@gmail.com,6/30/2026
Region 11,Travel and Tour Agency,DOT-R11-TTA-00458-2022,Tourlounge Travel Management,-,Davao City,"G/F The Royal Mandaya Hotel, J. Palma Gil St., Brgy 34-D, Davao City",0920 9001715,tourlounge.davao@yahoo.com,6/30/2026
Region 11,Travel and Tour Agency,DOT-R11-TTA-00436-2022,Prox Travel,-,Davao City,"Door 1 Casa Panolee Bldg., Loyola St., Obrero, Davao City",0917 1096262,bongdumadag@gmail.com,6/30/2026
Region 11,Travel and Tour Agency,DOT-R11-TTA-01377-2024,Wandertime Travel And Tours Corporation,-,Davao City,"Door #2 Celpaul Bldg., Davao City",(082) 315 4347,wandertimetravelandtours@gmail.com,6/30/2026
Region 11,Travel and Tour Agency,DOT-R11-TTA-01440-2025,Alimpanaw Travel And Tours,Davao Oriental,Cateel,"Purok Santol, Tongkip, Brgy. Santa Filomena, Cateel, Davao Oriental",0991 3155135,alimpanaw@gmail.com,6/30/2026
Region 11,Travel and Tour Agency,DOT-R11-TTA-00413-2022,Borderline Travel and Tours Corporation,-,Davao City,"427 Sampaguita, Km 5, Buhangin, Davao City",(082) 317 7182,borderlinetravelandtours@gmail.com,6/30/2026
Region 11,Travel and Tour Agency,DOT-R11-TTA-00352-2022,Southern Travel Corporation,-,Davao City,"Kabaitan cor. Kapalaran St. Ledesma Subdivision, Marfori, Brgy. 10-A, Davao City",0916 2610035,southerntrvl@yahoo.com,6/30/2026
Region 11,Travel and Tour Agency,DOT-R11-TTA-00279-2021,Frontier Travel & Tours,-,Davao City,"833 Sobrecarey Street, Brgy. 14-B (Pob.), Davao City",(082) 224 1837,frontiertravelntours@yahoo.com.ph,6/30/2026
Region 11,Travel and Tour Agency,DOT-R11-TTA-00715-2023,Elevation Travel and Tours Inc.,-,Davao City,"3/F LEX 2 Bldg., Monteverde corner Gempesaw St., Brgy. 27-C (Pob.), Davao City",0917 6729768,elevationtravelconsultancy@yahoo.com.ph,6/30/2026
Region 11,Travel and Tour Agency,DOT-R11-TTA-01506-2025,Limit-less Get-away Travel and Tours,Davao Oriental,Mati City,"Ciangi, Baywalk, Brgy. Central (Pob.), Mati City, Davao Oriental",0962 1427147,limitlessgetawaymati@gmail.com,6/30/2026
Region 11,Travel and Tour Agency,DOT-R11-TTA-00412-2022,Clarv Travel and Business Center,-,Davao City,"Door 11 Sienes Complex, Mandug Road, Brgy. Mandug, Davao City",0933 0885825,clarvtravel@gmail.com,6/30/2026
Region 11,Travel and Tour Agency,DOT-R11-TTA-01523-2025,On-The-Go-Travellers Travel Agency,-,Davao City,"Stall No. 5, Building 3, Doña Segunda Complex, C. Bangoy St., Davao City",(082) 224 7866 / 0923 4085526,va.michaelalinsonorin@gmail.com,6/30/2026
Region 11,Travel and Tour Agency,DOT-R11-TTA-01524-2025,Juan Can Fly Travel and Tours,-,Davao City,"7th Avenue cor. Gen Douglas McArthur Highway, Bangkal, Brgy. Talomo (Pob.), Davao City","0917 3078817, 0917 8873467, 0967 2050165, (082) 276 0250",raymond.repito@gmail.com,6/30/2026
Region 11,Travel and Tour Agency,DOT-R11-TTA-01542-2025,JJVen Tour Services,-,Davao City,"39 Sapphire St., Diamond Village, Brgy. Alfonso Angliongto Sr., Davao City",0915 1153195,jjventours@gmail.com,6/30/2026
Region 11,Travel and Tour Agency,DOT-R11-TTA-01493-2025,Canaan Travel and Tours,-,Davao City,"101 My Studio Bldg., Circumferential Road, Doña Vicenta Subd., Brgy 10-A, Davao City",0942 3659380,vengie.uy@gmail.com,6/30/2026
Region 11,Travel and Tour Agency,DOT-R11-TTA-01429-2025,FMSI Travel Agency,-,Davao City,"3rd Floor, FTC Tower 1034, Mt Apo St., Davao City",0920 5535280,fmsitravel@gmail.com,6/30/2026
Region 11,Travel and Tour Agency,DOT-R11-TTA-01130-2024,Ces Travel and Tours,-,Davao City,"Unit 30 D3G Y10 Building, Brgy. Alfonso Angliongto Sr., Mamay Road, Davao City",0915 7907167,cestravelreservations@gmail.com,6/30/2026
Region 11,Travel and Tour Agency,DOT-R11-TTA-01576-2025,Just To Explore Travel and Tours,-,Davao City,"YMCA Bldg 2nd Level 996-3 Villamor St E Jacinto Extension, Brgy. 11-B, Davao City",(082) 327 746,j2etravelandtours@yahoo.com,6/30/2026
Region 11,Travel and Tour Agency,DOT-R11-TTA-01577-2025,Limitless Get-Away Travel and Tours,-,Davao City,"G/F Door 3, Adalya Bldg, Araullo Street, Brgy. 10-A, Davao City",0927 0314812,ronnelbonsay@gmail.com,6/30/2026
Region 11,Travel and Tour Agency,DOT-R11-TTA-01128-2024,Angel's Easy Travel and Tours,Davao de Oro,Pantukan,"Port Road Townsite, Brgy. Kingking, Pantukan, Davao de Oro",0917 1377006,angelseasytravelandtours@gmail.com,6/30/2026
Region 11,Travel and Tour Agency,DOT-R11-TTA-01036-2024,Trava Travel & Tours,-,Davao City,"JYF Bldg., Loyola St., Bo. Obrero, Brgy. 18-B, Davao City",0960 4842550,travatravelandtours@gmail.com,6/30/2026
Region 11,Travel and Tour Agency,DOT-R11-TTA-01348-2024,Anne's Travel and Tours,Davao del Norte,IGACOS,"Purok 2 San Agustin, Babak Dist, Island Garden City of Samal, Davao Del Norte",0956 7503703,eyay0709@gmail.com,6/30/2026
Region 11,Travel and Tour Agency,DOT-R11-TTA-01138-2024,Airskip Travel and Tours,-,Davao City,"Phase 4, 2nd Fl Commercial, Purok 5 De Guzman St., cor. Juan Dela Cruz St., Toril, Davao City",0998 9799867,ging_abarico@yahoo.com.ph,6/30/2026
Region 11,Travel and Tour Agency,DOT-R11-TTA-01361-2024,Excel Global Travel & Tour Holidays,-,Davao City,"K 1038 NCCC Mall Center Point Plaza, Brgy. Matina Crossing, Talomo District, Davao City",0920 2684907,egttmanagement@gmail.com,6/30/2026
Region 11,Tour Operator,DOT-R11-TOP-00388-2022,Card MRI Hijos Tours Inc.,-,Davao City,"Anda, JP Rizal St., corner Anda St., Brgy. 3-A, Davao City",0998 7235719,"card.hijostours@gmail.com, hijostours@cardmri.com",6/30/2026
Region 11,Tour Operator,DOT-R11-TOP-00120-2021,Projectphl81 Tour Services,-,Davao City,"Blk 16 L1 Peoples Village, Brgy. Maa, Davao City",0910 8077891,projectph81@yahoo.com,06/30/2026
Region 11,Tour Operator,DOT-R11-TOP-01060-2024,Jiver Trans Tour,Davao del Norte,IGACOS,"Purok 3, Brgy. Kinawitnon, Island Garden City of Samal, Davao del Norte",0917 6377701,jivertrans.qr@gmail.com,06/30/2026
Region 11,MICE Venue / Facility,DOT-R11-MCF-00161-2021,SMX Convention Center Davao,-,Davao City,"SM Lanang Premier, JP Laurel Avenue, Brgy. San Antonio, Agdao, Davao City",(63 82) 285 1045 / (63 82) 297 8138,daphne.alojado@smxcc.com.ph,"June 30, 2026"
Region 11,MICE Venue / Facility,DOT-R11-MCF-01544-2025,Casa Vieja by Lispher Inn,-,Davao City,"111 Francisco Street, Juna Subd., Brgy. Matina Crossing, Davao City",(082) 299 1610,casaviejadavao@gmail.com,"June 30, 2026"
Region 11,MICE Organizer,DOT-R11-MCO-00439-2022,Zegen Management Group Co.,-,Davao City,"Unit 8 Asaje IV Bldg., Mabini St., Davao City",(082) 227 5827 / 09177049985,zegenmanagementgroup@gmail.com,"June 30, 2026"
Region 11,MICE Organizer,DOT-R11-MCO-01173-2024,"Konkordans, Inc.",-,Davao City,"Samco Bldg., F. Bangoy St., Brgy Agdao, Davao City",0917 7054759,konkordans@gmail.com,"June 30, 2026"
Region 11,MICE Organizer,DOT-R11-MCO-01303-2024,Garbo Davao Events Management Services,-,Davao City,"#2 Yellow St., Spring Village, Brgy. Ma-a, Davao City",0917 7019369,garboeventsmanagement@gmail.com,"June 30, 2026"
Region 11,Land Transport Operator,DOT-R11-TTO-00382-2022,Ecotrans Car Rentals,-,Davao City,"EcoTrans, Bacaca Road, corner 16 Amazon Street, Riverview Village, Davao City, 8000 Davao del Sur",9175482649,,"April 30, 2026"
Region 11,Land Transport Operator,DOT-R11-TTO-00036-2020,G & S transport corp.,-,Davao City,sta ana avenue the pinnacle hotel davao city,082-296-3569,,"April 30, 2026"
Region 11,Land Transport Operator,DOT-R11-TTO-00308-2022,MSIC Transportation Inc.,-,Davao City,AIRPORT VIEW COMPLEX C.P GARCIA HIGHWAY BUHANGIN,9175365175,http://www.europcar.com,"April 30, 2026"
Region 11,Land Transport Operator,DOT-R11-TTO-00446-2022,CWN Holiday Tours Services Corporation,-,Davao City,"SAMCO Bldg., F. Bangoy St., Davao City",0998 8477235,holidaytoursdavao@gmail.com,"April 30, 2026"
Region 11,Land Transport Operator,DOT-R11-TTO-00454-2022,Aldimel Car Express Rent a Car,-,Davao City,"19 Jaroda Road, Tulip Drive, Brgy Matina Crossing, Davao City",0917 3001436,aldimelcar@gmail.com,"April 30, 2026"
Region 11,Land Transport Operator,DOT-R11-TTO-00362-2022,Davao International Transport Cooperative (DITC),-,Davao City,"Dr. 10 adframe bldg. New Airport Comp., Sasa, Davao City",0991 3762759,dtranscoop@gmail.com,"April 30, 2026"
